order,OrigValueStr,Freq,mode
578,"Tayassu tajacu, T. pecari",1,animalnotspecified
579,Terrapene carolina (box turtle),1,endo
580,Terrapene carolina (eastern box turtle),1,endo
581,terrestrial gopher turtles,1,endo
582,Testudo elephantopus (tortoise),1,endo
583,Thraupis aepiscopus,1,endo
584,tinamou,1,animalnotspecified
585,Toucans,1,animalnotspecified
586,"toucans; monkey, kinkajou",1,endo
587,Trichoglossus chlorolepidotus,1,animalnotspecified
588,trichoptera larva,37,animalnotspecified
589,Tropidurus torquatus (lizard),1,endo
590,tumbling,6,autochory
591,"Turdus merula (thrush), Sylvia atricapilla (blackcap)",1,endo
592,"Turdus plebejus (mountain robin), Phainoptila melanoxantha (black-and-yellow silky flycatcher), ...",1,endo
593,Turdus viscivorus (mistle thrush),1,endo
594,turtles,3,endo
595,unassisted,1358,autochory
596,Unassisted,359,autochory
597,unassisted (no morphological structures aiding dispersal),135,autochory
598,Unassisted and/or methods originating from parent plant,118,autochory
599,unassisted/short-distance,35,autochory
600,unknown,33,
601,unspecialised,326,autochory
602,Ursu americanus floridanus; Aphelocoma coerulescens,1,endo
603,Ursus americanus floridanus,2,endo
604,Ursus americanus floridanus; Aphelocoma coerulescens,1,endo
605,"Ursus americanus floridanus; Mimus polyglottos, Quiscalus mexicanus, Aphelocoma coerulescens, C ...",1,endo
606,"Ursus americanus, Odocoileus virginianus, Procyon lotor; Turdus migratorius, Bombycilla cedorum",1,endo
607,"Ursus americanus, Procyon lotor, odocoileus virginianus, O. v. clavium",1,endo
608,Varanus grayi,3,endo
609,Varanus grayi; Paradoxurus philippinensis,1,endo
610,vegetative dispersule,18,
611,Vegetative growth,1,
612,vertebrate,19,animalnotspecified
613,vertebrate-dispersed (aril or fleshy fruit),34,endo
614,vertebrate?,21,animalnotspecified
615,Vertebrates,2,animalnotspecified
616,Vertebrates (unspecified).,111,animalnotspecified
617,Viverra malaccensis,1,endo
618,Vulpes vulpes (red fox),2,endo
619,water,4430,water
620,Water,287,water
621,water?,5,water
622,Water?,34,water
623,Wetting by rain or dew,25,water
624,wild boar,78,animalnotspecified
625,"wild cat, jaguar",1,endo
626,wind,3089,wind
627,Wind,1667,wind
628,Wind Animals,15,wind
629,"wind-dispersed (with wing, hairs or bristles to provide air-resistance)",68,wind
630,wind?,20,wind
631,wind/long-distance,122,wind
632,yes,96,
633,Zoo,2,animalnotspecified
634,zoochor,371,animalnotspecified
635,zoochory,137,animalnotspecified
636,Zoochory with elaiosomes,69,ant
