order,OrigValueStr,Freq,mode
146,Casuarius sp.,2,endo
147,catfish,1,endo
148,cattle,5231,animalnotspecified
149,Cattle,1,animalnotspecified
150,"cattle, horses (occasionally), tapir",1,animalnotspecified
151,Cebus albifrons,1,endo
152,"Cebus albifrons, Tayassu tajacu, T. pecari; Daptrius ater",1,endo
153,Cebus albifrons; Deroptyus accipitrinus,1,endo
154,Cebus apella,3,endo
155,"Cebus apella, C. capucinus, Sciurus granatensis",1,endo
156,"Cebus sp., Saimiri sciureus, Sciurus sp.",1,endo
157,cedar waxwing,1,endo
158,Cephalophus callipygus,1,endo
159,"Cephalophus callipygus, C. dorsalis",2,endo
160,"Cephalophus sylvicultor, C. callipygus",1,endo
161,Ceratogymna atrata,1,endo
162,"Ceratogymna atrata, C. cylindricus",2,endo
163,"Cercocebus galeritus galeritus, Papio cynocephalus; Gypohierax angolensis, Tauraco persa",1,endo
164,"Cercocebus galeritus, Papio cynocephalus",1,endo
165,"Cerdocyon thous, Procyon cancrivorus",1,endo
166,chamaechor,580,wind
167,"Chamaepestes unicolor (black guan), Pharomachrus mocinno (resplendent quetzal), Aulacorhynchus  ...",1,endo
168,chamois,97,animalnotspecified
169,chimpanzee,8,endo
170,"Cicaeum hirundinaceum (mistletoe bird), Acanthogenys rufogularis (spiny-cheeked honeyeater)",1,endo
171,"Cichlids, Pacu",1,endo
172,Ciridops anna,1,endo
173,Civet,12,endo
174,Civet; macaque,3,endo
175,Civets?,2,endo
176,climbing iguanas,1,endo
177,clothes and footwear,481,
178,"Colossoma macropomum, C. bidens, Brycon sp., Phractocephalus hemelioterus, Megaladoras irwini,  ...",1,endo
179,Columba leucocephala,6,endo
180,"Columba leucocephala, C. squamosa, C. inornata, Dendrocygna arborea, D. bicolor, Amazona ventra ...",1,endo
181,Combination: animal+unassisted,6,animalnotspecified
182,Combination: methods originating from parent plant+animal,5,
183,Combination: water+animal,5,
184,Combination: water+dispersal prevented,2,
185,Combination: water+wind+animal,4,
186,Combination: wind+animal,19,
187,Combination: wind+animal+unassisted,2,
188,Combination: wind+unassisted,5,
189,Combination: wind+water,29,
190,Combination: wind+water+unassisted,1,
191,commerce,2411,
192,Coracopsis nigra,3,animalnotspecified
193,cow; goat,1,animalnotspecified
194,Crypturellus boucardi,1,endo
195,Cyanoramphus novaezelandiae,1,animalnotspecified
196,Cyclura carinata; Amazona leucocephala bahamensis,1,animalnotspecified
197,"Daptrius ater, Steatornis caripensis; Cebus capucinus",1,endo
198,Dasyprocta (agouti),2,cache
199,Dasyprocta prymnolopha (black-rumped agouti); Sciurus aestuans (Guianan squirrel),1,cache
200,Dasyprocta punctata,1,cache
201,Dasyprocta punctata (agouti),2,cache
202,"Dasyprocta sp., Cerdocyon thous; Rhes americana, Tinamus solitarius",1,cache
203,deer,758,animalnotspecified
204,"deer, rabbit",1,animalnotspecified
205,Deroptyus accipitrinus,1,endo
206,"Deroptyus accipitrinus; Philander opossum, Caluromys philander",1,endo
207,developed,10,
208,Diaspore is blown by wind,2434,wind
209,Diaspore is carried accidentally,327,animalnotspecified
210,Diaspore is carried intentionally,281,animalnotspecified
211,diaspore is carried on the outside of the vertebrate,1,attach
212,Diaspore is carried or eaten intentionally depending upon the species of disperser,13,endo
213,diaspore is carried unintentionally (exo; burr),6,attach
214,Diaspore is eaten accidentally,5,animalnotspecified
215,diaspore is eaten intentionally,1,endo
216,Diaspore is eaten intentionally,2576,endo
217,"Diaspore is eaten intentionally, seed ingested or regurgitated",108,endo
218,Diaspore is propelled by action of animal on plant structure,11,animalnotspecified
219,Diaspore is propelled by action of rain on plant structure,73,water
220,Diaspore is propelled by action of wind on the plant structure,120,wind
221,Diaspore is rolled along ground surface by wind,103,wind
222,"Didelphis albiventris, Nectomys squamipes, Cebus apella, Agouti paca, Euphractus sexcinctus, Da ...",1,endo
223,"Didelphus albiventris, Nectomys squamipes, Cebus apella; Turdus sp., Anodorhynchus hyacinthinus",1,endo
224,Disp,14944,
225,Dispersal ectozoochorous,18,attach
226,Dispersal endozoochorous,14,endo
227,Dispersal is delayed until some environmental cue,2,
228,Dispersal no,72,
229,Dispersal prevented,22,
230,Dispersal wind,11,wind
231,dog,61,animalnotspecified
232,domestic animal,3448,animalnotspecified
233,donkey,145,animalnotspecified
234,dormouse,70,cache
235,Dromaius novae-hollandiae (emu),1,endo
236,Dromaius novaehollandiae (emu),1,endo
237,Ducula aena,1,endo
238,Ducula goliath,2,endo
239,Ducula rosacea whartoni,1,endo
240,Ducula spilorrhoa,1,endo
241,"Ducula spilorrhoa, Ptilinopus superbus, Casuarius casuarius",1,endo
242,Ducula spilorrhoa; Pteropus alecto,1,endo
243,Dys-zoochory,18,cache
244,dysochor,4101,cache
245,earthworm,40,animalnotspecified
246,eaten by birds,128,endo
247,eaten by mammals,43,endo
248,"Echimys armatus, Philander opossum, Didelphis marsupialis",1,endo
249,Eidolon helvum (straw-coloured fruit bat),1,endo
250,"Eidolon sp., Dolonsia sp., Pteropus sp.",1,endo
251,"Eidolon spp., Rousettus spp.",1,endo
252,Elainea ridleyana (tyrant bird),1,endo
253,elephant,1,endo
254,"elephant, baboon",1,endo
255,"elephant, impala",1,animalnotspecified
256,elephants,1,endo
257,Elephas maximus,2,endo
258,Endo-zoochory,109,endo
259,endozoochor,14975,endo
260,endozoochory,112,endo
261,Epi-zoochory,45,attach
262,epizoochor,14785,attach
263,epizoochory,14,attach
264,erosion material,328,
265,ethelochor,3742,
266,Eudynamis scolopacea,1,endo
267,Eudynamys scolopacea,1,endo
268,exozoochory,24,attach
269,explosive,84,ballistic
270,explosive mechanism,58,ballistic
271,Explosive mechanism,172,ballistic
272,external,1,
273,farm machinery,8,
274,"finches, tanagers, flycatchers, cotinga",1,endo
275,fish,11,endo
276,Fish.,8,endo
277,Floating in fresh- or saltwater currents,10,water
278,Floating in freshwater currents,104,water
279,Floating in saltwater currents,110,water
280,Floating or submerged in freshwater currents,1,water
281,"flycatchers, motmots",1,endo
282,"For a comprehensive list, see: van Rheede van Oudtshoorn, K. and Van Rooyen, M.W. (1999). Dispe ...",2,
283,fox,62,endo
284,Freshwater currents (not stated whether diaspore floats or sinks),9,water
285,fruit bats,1,endo
286,Fruit bats,4,endo
287,Fruit bats; civet,1,endo
288,Fruit is fleshy,1,endo
289,fruit pigeon,1,endo
290,game,1,animalnotspecified
291,"Gazella dorcas (Dorcas gazelle), Capra nubiana (ibex), goat, camel",2,animalnotspecified
292,generative dispersule,879,
293,"Geochelone carbonaria, G. denticulata",1,endo
294,germinule,783,
295,"Giraffe, Kudu",1,endo
296,goat,294,animalnotspecified
297,Gorilla gorilla gorilla (lowland gorilla),1,endo
298,"Gorilla gorilla, Pan troglodytes troglodytes, Civettictus civetta; Ceratogymna atrata, C. fistu ...",1,endo
299,"Gracula javanica, Turtur tigrinus",1,endo
300,gravity,13,autochory
301,Gypohierax angolensis,1,endo
302,"Gypohierax angolensis; Tockus fasciatus, Ceratogymna elata, C. atrata, Corvus albus, Merops alb ...",1,endo
303,Hapalemur griseus,1,endo
304,Hapalemur griseus occidentalis,1,endo
305,"Hapalemur occidentalis, Lepilemur dorsalis, Lemur macaco",1,endo
306,Hapalemur simus,1,endo
307,"Hapalemur simus, Ateles belzebuth; Colossoma bidens, Electrophorus electricus; Cotinga ridgwayi ...",1,endo
308,hare,185,animalnotspecified
309,harvesting,1,
310,harvesting ants,1,ant
311,hay cutting,8,
312,hay making machinery,662,
313,hay transport,2,
314,hedgehog,1,animalnotspecified
315,hemerochor,348,
316,Herbivorous mammals; crabs,2,animalnotspecified
317,herpochor,100,autochory
318,Heteromys desmarestianus,3,animalnotspecified
319,Heteromys sp.,1,animalnotspecified
320,"Heteromys sp.; Chamaepetes unicolor, Aulacorhynchus prasinus",1,animalnotspecified
321,hoarding,21,cache
322,horse,687,animalnotspecified
323,"horse?, agouti, squirrel, tapir?, peccary?",1,animalnotspecified
324,humans,1,
325,Humans.,3,
326,hydrochory,24,water
327,Hydrochory,1,water
328,Hylobates agilis,1,endo
329,Hylobates lar,1,endo
330,Icterus sp. (orioles),1,endo
331,"iguanas, alligators",1,endo
332,Insects.,1,
333,invertebrate,1,
334,"Iridomyrmex cf. nitidiceps, Pheidole sp.",1,ant
335,Iridomyrmex purpureus; Pheidole sp.; Acanthagenys rufogularis; Artamus cinereus; Corvus coronoi ...,1,ant
336,Iridomyrmex sp.,5,ant
337,"Kudu, primates",1,endo
338,"Lagopus spp. (grouse, ptarmigan)",3,animalnotspecified
339,large birds including toucans,1,endo
340,"Lepilemur dorsalis, Lemur macaco",1,endo
341,"Leptonycteris curasoae; Sylvilagus audubonii (desert cottontail), Lepus californicus (black-tai ...",3,animalnotspecified
342,"Lepus californicus Gray (black-tailed jackrabbit), Odocoileus hemionus Colombianus (mule deer)",2,animalnotspecified
343,livestock,3,animalnotspecified
344,livestock and wild animals,1,animalnotspecified
345,"livestock, wild mammals",1,animalnotspecified
346,Lizards,1,endo
347,Lizards+mammals (non-bat).,1,endo
348,Lopholaimus antarcticus,1,endo
349,Loxodonta africana,2,endo
350,Loxodonta africana (African elephant),1,endo
351,"Loxodonta africana capensis, Papio anubis",1,endo
352,Macaca fascicularis,4,endo
353,Macaque,2,endo
354,Macaque; civet,1,endo
355,Mamalochory,24,animalnotspecified
356,mammal,420,animalnotspecified
357,Mammalochory,1,endo
358,Mammals (bats).,49,endo
359,Mammals (bats)+birds,1,endo
360,Mammals (bats)+birds.,7,endo
361,"Mammals (incl. bats), birds and fish",1,endo
362,"Mammals (incl. bats), birds and reptiles",1,endo
363,"Mammals (incl. bats), birds, reptiles and fish",2,endo
364,Mammals (incl. bats).,7,endo
365,Mammals (incl. bats)+birds,1,endo
366,Mammals (incl. bats)+birds.,58,endo
367,Mammals (non-bat),2,endo
368,Mammals (non-bat) and reptiles,1,endo
369,Mammals (non-bat).,310,animalnotspecified
370,Mammals (non-bat)+birds.,304,animalnotspecified
371,Mammals (non-bat)+birds+ants.,2,endo
372,Mammals (non-bat)+birds+fish.,3,endo
373,Mammals (non-bat)+birds+reptiles.,2,endo
374,Mammals (non-bat)+crustacea,2,animalnotspecified
375,Mammals (non-bat)+humans.,2,
