"",".","Freq"
"163","Cercocebus galeritus galeritus, Papio cynocephalus; Gypohierax angolensis, Tauraco persa",1
"164","Cercocebus galeritus, Papio cynocephalus",1
"165","Cerdocyon thous, Procyon cancrivorus",1
"166","chamaechor",580
"167","Chamaepestes unicolor (black guan), Pharomachrus mocinno (resplendent quetzal), Aulacorhynchus  ...",1
"168","chamois",97
"169","chimpanzee",8
"170","Cicaeum hirundinaceum (mistletoe bird), Acanthogenys rufogularis (spiny-cheeked honeyeater)",1
"171","Cichlids, Pacu",1
"172","Ciridops anna",1
"173","Civet",12
"174","Civet; macaque",3
"175","Civets?",2
"176","climbing iguanas",1
"177","clothes and footwear",481
"178","Colossoma macropomum, C. bidens, Brycon sp., Phractocephalus hemelioterus, Megaladoras irwini,  ...",1
"179","Columba leucocephala",6
"180","Columba leucocephala, C. squamosa, C. inornata, Dendrocygna arborea, D. bicolor, Amazona ventra ...",1
"181","Combination: animal+unassisted",6
"182","Combination: methods originating from parent plant+animal",5
"183","Combination: water+animal",5
"184","Combination: water+dispersal prevented",2
"185","Combination: water+wind+animal",4
"186","Combination: wind+animal",19
"187","Combination: wind+animal+unassisted",2
"188","Combination: wind+unassisted",5
"189","Combination: wind+water",29
"190","Combination: wind+water+unassisted",1
"191","commerce",2411
"192","Coracopsis nigra",3
"193","cow; goat",1
"194","Crypturellus boucardi",1
"195","Cyanoramphus novaezelandiae",1
"196","Cyclura carinata; Amazona leucocephala bahamensis",1
"197","Daptrius ater, Steatornis caripensis; Cebus capucinus",1
"198","Dasyprocta (agouti)",2
"199","Dasyprocta prymnolopha (black-rumped agouti); Sciurus aestuans (Guianan squirrel)",1
"200","Dasyprocta punctata",1
"201","Dasyprocta punctata (agouti)",2
"202","Dasyprocta sp., Cerdocyon thous; Rhes americana, Tinamus solitarius",1
"203","deer",758
"204","deer, rabbit",1
"205","Deroptyus accipitrinus",1
"206","Deroptyus accipitrinus; Philander opossum, Caluromys philander",1
"207","developed",10
"208","Diaspore is blown by wind",2434
"209","Diaspore is carried accidentally",327
"210","Diaspore is carried intentionally",281
"211","diaspore is carried on the outside of the vertebrate",1
"212","Diaspore is carried or eaten intentionally depending upon the species of disperser",13
"213","diaspore is carried unintentionally (exo; burr)",6
"214","Diaspore is eaten accidentally",5
"215","diaspore is eaten intentionally",1
"216","Diaspore is eaten intentionally",2576
"217","Diaspore is eaten intentionally, seed ingested or regurgitated",108
"218","Diaspore is propelled by action of animal on plant structure",11
"219","Diaspore is propelled by action of rain on plant structure",73
"220","Diaspore is propelled by action of wind on the plant structure",120
"221","Diaspore is rolled along ground surface by wind",103
"222","Didelphis albiventris, Nectomys squamipes, Cebus apella, Agouti paca, Euphractus sexcinctus, Da ...",1
"223","Didelphus albiventris, Nectomys squamipes, Cebus apella; Turdus sp., Anodorhynchus hyacinthinus",1
"224","Disp",14944
"225","Dispersal ectozoochorous",18
"226","Dispersal endozoochorous",14
"227","Dispersal is delayed until some environmental cue",2
"228","Dispersal no",72
"229","Dispersal prevented",22
"230","Dispersal wind",11
"231","dog",61
"232","domestic animal",3448
"233","donkey",145
"234","dormouse",70
"235","Dromaius novae-hollandiae (emu)",1
"236","Dromaius novaehollandiae (emu)",1
"237","Ducula aena",1
"238","Ducula goliath",2
"239","Ducula rosacea whartoni",1
"240","Ducula spilorrhoa",1
"241","Ducula spilorrhoa, Ptilinopus superbus, Casuarius casuarius",1
"242","Ducula spilorrhoa; Pteropus alecto",1
"243","Dys-zoochory",18
"244","dysochor",4101
"245","earthworm",40
"246","eaten by birds",128
"247","eaten by mammals",43
"248","Echimys armatus, Philander opossum, Didelphis marsupialis",1
"249","Eidolon helvum (straw-coloured fruit bat)",1
"250","Eidolon sp., Dolonsia sp., Pteropus sp.",1
"251","Eidolon spp., Rousettus spp.",1
"252","Elainea ridleyana (tyrant bird)",1
"253","elephant",1
"254","elephant, baboon",1
"255","elephant, impala",1
"256","elephants",1
"257","Elephas maximus",2
"258","Endo-zoochory",109
"259","endozoochor",14975
"260","endozoochory",112
"261","Epi-zoochory",45
"262","epizoochor",14785
"263","epizoochory",14
"264","erosion material",328
"265","ethelochor",3742
"266","Eudynamis scolopacea",1
"267","Eudynamys scolopacea",1
"268","exozoochory",24
"269","explosive",84
"270","explosive mechanism",58
"271","Explosive mechanism",172
"272","external",1
"273","farm machinery",8
"274","finches, tanagers, flycatchers, cotinga",1
"275","fish",11
"276","Fish.",8
"277","Floating in fresh- or saltwater currents",10
"278","Floating in freshwater currents",104
"279","Floating in saltwater currents",110
"280","Floating or submerged in freshwater currents",1
"281","flycatchers, motmots",1
