id,refid,pred,disp,para,p_fam,p_g,p_sp,sp,a_g,a_sp,continent,log_avg_diam,log_ant_size,disp_self,disp_myrm,disp_vert,disp_wind,plant_sp,h_sp,omni_sp,hab_forest,hab_shrubland,hab_desert,hab_grassland,hab_crop,hab_urban,lform_annual,lform_perenniel,ghab_forbherb,ghab_graminoid,ghab_shrubtree,ghab_other,shape_longnarrow,shape_round,shape_sphere,shape_odd,surface_smooth,surface_middle,surface_rugous,surface_appendage,lform,ghab,shape,surface,hab,country,diam_min,diam_max,avg_diam,ant_lmin,ant_lmax,ant_size,myrm,depo,disp.prob1,pred.prob1,para.prob1,result,dispersal,diet
5985,715,0,1,0,Cistaceae,Cistus,populifolius,Cistus populifolius,Messor,capitatus,Europe,0.217483944,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.5,1.8,1.65,5,5.25,5.125,0,0,0.917700666,0.011348594,0.016191508,disp,auto,plant
5986,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5987,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5988,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5989,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5990,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5991,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5992,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5993,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5994,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
5995,715,0,1,0,Cistaceae,Cistus,salvifolius,Cistus salvifolius,Messor,capitatus,Europe,0.130333768,0.70969387,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,perennial,shrub_tree,sphere,middle,forest,Portugal,1.2,1.5,1.35,5,5.25,5.125,0,0,0.920865269,0.01091254,0.014968865,disp,auto,plant
