id,refid,pred,disp,para,p_fam,p_g,p_sp,sp,a_g,a_sp,continent,log_avg_diam,log_ant_size,disp_self,disp_myrm,disp_vert,disp_wind,plant_sp,h_sp,omni_sp,hab_forest,hab_shrubland,hab_desert,hab_grassland,hab_crop,hab_urban,lform_annual,lform_perenniel,ghab_forbherb,ghab_graminoid,ghab_shrubtree,ghab_other,shape_longnarrow,shape_round,shape_sphere,shape_odd,surface_smooth,surface_middle,surface_rugous,surface_appendage,lform,ghab,shape,surface,hab,country,diam_min,diam_max,avg_diam,ant_lmin,ant_lmax,ant_size,myrm,depo,disp.prob1,pred.prob1,para.prob1,result,dispersal,diet
6204,715,0,1,0,Polygonaceae,Rumex,maritimus,Rumex maritimus,Messor,lusitanicus,Europe,0.122215878,0.62838893,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,annual,forb_herb,odd,middle,forest,Portugal,0.9,1.75,1.325,4,4.5,4.25,0,0,0.959124732,0.034242096,3.88E-06,disp,auto,plant
6205,715,0,1,0,Polygonaceae,Rumex,maritimus,Rumex maritimus,Messor,lusitanicus,Europe,0.122215878,0.62838893,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,annual,forb_herb,odd,middle,forest,Portugal,0.9,1.75,1.325,4,4.5,4.25,0,0,0.959124732,0.034242096,3.88E-06,disp,auto,plant
6207,715,0,1,0,Caryophyllaceae,Stellaria,,Stellaria ,Messor,marocanus,Europe,0.397940009,0.62838893,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,perennial,forb_herb,round,rugous,forest,Portugal,1,4,2.5,4,4.5,4.25,0,0,0.934682623,0.016158301,0.006826092,disp,auto,plant
6208,715,0,1,0,Caryophyllaceae,Stellaria,,Stellaria ,Messor,marocanus,Europe,0.397940009,0.62838893,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,perennial,forb_herb,round,rugous,forest,Portugal,1,4,2.5,4,4.5,4.25,0,0,0.934682623,0.016158301,0.006826092,disp,auto,plant
6209,715,0,1,0,Fabaceae,Astragalus,,Astragalus ,Messor,marocanus,Europe,0.875061263,0.62838893,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,perennial,forb_herb,round,smooth,forest,Portugal,3,12,7.5,4,4.5,4.25,0,0,0.91889543,0.019994296,0.009495753,disp,auto,plant
6210,715,0,1,0,Fabaceae,Ornithopus,compressus,Ornithopus compressus,Messor,structor,Europe,0.301029996,0.698970004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,annual,forb_herb,round,smooth,forest,Portugal,2,2,2,4,6,5,0,0,0.916334699,0.035727794,9.23E-05,disp,auto,plant
6211,715,0,1,0,Fabaceae,Ornithopus,compressus,Ornithopus compressus,Messor,structor,Europe,0.301029996,0.698970004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,annual,forb_herb,round,smooth,forest,Portugal,2,2,2,4,6,5,0,0,0.916334699,0.035727794,9.23E-05,disp,auto,plant
6212,715,0,1,0,Fabaceae,Ornithopus,compressus,Ornithopus compressus,Messor,structor,Europe,0.301029996,0.698970004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,annual,forb_herb,round,smooth,forest,Portugal,2,2,2,4,6,5,0,0,0.916334699,0.035727794,9.23E-05,disp,auto,plant
6213,715,0,1,0,Fabaceae,Ornithopus,compressus,Ornithopus compressus,Messor,structor,Europe,0.301029996,0.698970004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,annual,forb_herb,round,smooth,forest,Portugal,2,2,2,4,6,5,0,0,0.916334699,0.035727794,9.23E-05,disp,auto,plant
6214,715,0,1,0,Fabaceae,Ornithopus,sativus,Ornithopus sativus,Messor,structor,Europe,0.301029996,0.698970004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,annual,forb_herb,round,smooth,forest,Portugal,2,2,2,4,6,5,0,0,0.916334699,0.035727794,9.23E-05,disp,auto,plant
