sp,bird,mamm,timber,mode
Albizia gummifera,no,no,no,abiotic
Erythrophleum suaveolens,no,no,yes,abiotic
Nesogordonia kabingaensis,no,no,yes,abiotic
Petersianthus macrocarpus,no,no,yes,abiotic
Pteleopsis hylodendron,no,no,yes,abiotic
Pterocarpus soyauxii,no,no,yes,abiotic
Terminalia superba,no,no,yes,abiotic
Angylocalyx pynaertii,no,yes,yes,endo
Celtis adolfi-friderici,no,yes,yes,endo
Celtis mildbraedii,yes,yes,yes,endo
Cleistopholis patens,yes,yes,yes,endo
Diospyros bipindensis,no,yes,yes,endo
Diospyros canaliculata,no,yes,yes,endo
Greenwayodendron suaveolens,yes,yes,yes,endo
Guarea cedrata,yes,yes,yes,endo
Guarea thompsonii,yes,no,yes,endo
Lannea welwitschii,yes,yes,yes,endo
Macaranga barteri,yes,yes,yes,endo
Staudtia kamerunensis,yes,yes,yes,endo
Strombosia nigropunctata,yes,yes,yes,endo
Strombosia pustulata,yes,yes,no,endo
Strombosiopsis tetrandra,yes,yes,yes,endo
Xylopia chrysophylla,yes,yes,no,endo
Xylopia hypolampra,yes,yes,no,endo
Xylopia phloiodora,yes,yes,no,endo
Camptostylus mannii,no,yes,no,animalnotspecified
Grossera macrantha,no,yes,no,animalnotspecified
Lepidobotrys staudtii,yes,yes,no,animalnotspecified
Myrianthus arboreus,no,yes,no,animalnotspecified
Pausinystalia macroceras,yes,yes,yes,animalnotspecified
Radlkofera calodendron,yes,yes,yes,animalnotspecified
Rinorea oblongifolia,no,yes,yes,animalnotspecified
Thomandersia hensii,no,no,yes,animalnotspecified
