sp,Nativity,Growth Form,Dispersal Mode,Dispersal Source,mode
Verbesina alternifolia,Native,Forb,Wind; Vertebrate,"(Royal Botanic Gardens Kew, 2008; Minor et al., 2009)",animalnotspecified
Verbesina occidentalis,Native,Forb,Wind; Vertebrate,"(Royal Botanic Gardens Kew, 2008; Minor et al., 2009)",animalnotspecified
Albizia julibrissin,Exotic,Tree,Wind; Vertebrate; Water,"(Meyer, 2009)",animalnotspecified
Glyceria striata,Native,Graminoid,Wind; Vertebrate; Water,"(Royal Botanic Gardens Kew, 2008)",animalnotspecified
Hypericum hypericoides,Native,Subshrub,Wind; Vertebrate; Water,"(Tisdale et al., 1959; Comes et al., 1978)",animalnotspecified
Hypericum nudiflorum,Native,Subshrub,Wind; Vertebrate; Water,"(Tisdale et al., 1959; Comes et al., 1978)",animalnotspecified
Hypericum perforatum,Exotic,Subshrub,Wind; Vertebrate; Water,Inferred from morphology and con-geners,animalnotspecified
Hypericum punctatum,Native,Forb,Wind; Vertebrate; Water,"(Tisdale et al., 1959; Comes et al., 1978)",animalnotspecified
Juncus effusus,Native,Graminoid,Wind; Vertebrate; Water,"(Pakeman et al., 2002; Neff & Baldwin, 2005; Flinn et al., 2010)",animalnotspecified
Microstegium vimineum,Exotic,Graminoid,Wind; Vertebrate; Water,"(Swearingen et al., 2010)",animalnotspecified
Acer negundo,Native,Tree,Wind; Water,"(Cain et al., 1998; Minor et al., 2009)",wind
Alnus serrulata,Native,Shrub,Wind; Water,"(Royal Botanic Gardens Kew, 2008)",wind
Betula nigra,Native,Tree,Wind; Water,Inferred from morphology and con-geners,wind
Humulus japonicus,Exotic,Vine,Wind; Water,"(Pennsylvania Department of Conservation and Natural Resources, 2009)",wind
Salix nigra,Native,Tree,Wind; Water,"(Royal Botanic Gardens Kew, 2008)",wind
Ulmus alata,Native,Tree,Wind; Water,"(Young & Young, 1992; Royal Botanic Gardens Kew, 2008)",wind
Ulmus americana,Native,Tree,Wind; Water,"(Young & Young, 1992; Royal Botanic Gardens Kew, 2008)",wind
Ulmus rubra,Native,Tree,Wind; Water,"(Young & Young, 1992; Royal Botanic Gardens Kew, 2008)",wind
