Code,Target_species,sp,Target_Genus,Target_Family,Habitat,Dispersal.Phase,hoarder_Species,hoarder_Family,mode,Disperser_group,Location,Source,
1185,Nestegis_sandwicensis,Nestegis sandwicensis,Nestegis,Oleaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1299,Picea_schrenkiana,Picea schrenkiana,Picea,Pinaceae,Temperate,Primary,Nucifraga caryocatactes,Corvidae,cache,Bird,Kazajistan,Vander Wall (1990),
1304,Pinus_albicaulis,Pinus albicaulis,Pinus,Pinaceae,Temperate,Primary,Corvus_corax,Corvidae,cache,Bird,USA,Hutchins & Lanner (1982),
1305,Pinus_albicaulis,Pinus albicaulis,Pinus,Pinaceae,Temperate,Primary,Cyanocitta_stelleri,Corvidae,cache,Bird,USA,Hutchins & Lanner (1982),
1306,Pinus_albicaulis,Pinus albicaulis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Hutchins & Lanner (1982),
1311,Pinus_albicaulis,Pinus albicaulis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Lanner (1996),
1312,Pinus_albicaulis,Pinus albicaulis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Lorenz et al. (2011),
1313,Pinus_albicaulis,Pinus albicaulis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Siepielski & Benkman (2007),
1314,Pinus_albicaulis,Pinus albicaulis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Tomback (1982),
1323,Pinus_cembra,Pinus cembra,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Switzerland,Lanner (1996),
1324,Pinus_cembra,Pinus cembra,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Switzerland,Lanner (1996),
1325,Pinus_cembra,Pinus cembra,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Switzerland,Lanner (1996),
1326,Pinus_cembra,Pinus cembra,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Switzerland,Lanner (1996),
1327,Pinus_cembra,Pinus cembra,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Switzerland,Meuschulz et al. (2015),
1329,Pinus_cembra,Pinus cembra,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Italy,Zong et al. (2010),
1331,Pinus_cembroides,Pinus cembroides,Pinus,Pinaceae,Temperate,Primary,Aphelocoma_coerulescens,Corvidae,cache,Bird,Mexico,Martínez-Delgado et al. (1996),
1332,Pinus_cembroides,Pinus cembroides,Pinus,Pinaceae,Temperate,Primary,Aphelocoma_ultramarinus,Corvidae,cache,Bird,Mexico,Martínez-Delgado et al. (1996),
1333,Pinus_cembroides,Pinus cembroides,Pinus,Pinaceae,Temperate,Primary,Corvus_corax,Corvidae,cache,Bird,Mexico,Martínez-Delgado et al. (1996),
1337,Pinus_coulteri,Pinus coulteri,Pinus,Pinaceae,Arid,Secondary,Cyanocitta_stelleri,Corvidae,cache,Bird,USA,Johnson & Vander Wall (2003),
1343,Pinus_discolor,Pinus discolor,Pinus,Pinaceae,Temperate,Primary,Aphelocoma_coerulescens,Corvidae,cache,Bird,Mexico,Martínez-Delgado et al. (1996),
1344,Pinus_discolor,Pinus discolor,Pinus,Pinaceae,Temperate,Primary,Aphelocoma_ultramarinus,Corvidae,cache,Bird,Mexico,Martínez-Delgado et al. (1996),
1345,Pinus_discolor,Pinus discolor,Pinus,Pinaceae,Temperate,Primary,Corvus_corax,Corvidae,cache,Bird,Mexico,Martínez-Delgado et al. (1996),
1348,Pinus_edulis,Pinus edulis,Pinus,Pinaceae,Arid,Primary,Several species,Corvidae,cache,Bird,USA,Gómez & Schupp (per. obs.),
1349,Pinus_edulis,Pinus edulis,Pinus,Pinaceae,Arid,Primary,Gymnorhinus cyanocepahlus,Corvidae,cache,Bird,USA,Ligon (1978),
1353,Pinus_flexilis,Pinus flexilis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Benkman et al. (1984),
1355,Pinus_flexilis,Pinus flexilis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Lanner & Vander Wall (1980),
1356,Pinus_flexilis,Pinus flexilis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Lanner (1996),
1357,Pinus_flexilis,Pinus flexilis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Lanner (1996),
1358,Pinus_flexilis,Pinus flexilis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Lanner (1996),
1359,Pinus_flexilis,Pinus flexilis,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Siepielski & Benkman (2008),
1374,Pinus_koraiensis,Pinus koraiensis,Pinus,Pinaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,China,Yang & Yi (2011),
1379,Pinus_lambertiana,Pinus lambertiana,Pinus,Pinaceae,Temperate,Primary,Cyanocitta_stelleri,Corvidae,cache,Bird,USA,Thayer & Vander Wall (2005),
1383,Pinus_longaeva,Pinus longaeva,Pinus,Pinaceae,Arid,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Vander Wall (1990),
1390,Pinus_monophylla,Pinus monophylla,Pinus,Pinaceae,Arid,Primary,Several species,Corvidae,cache,Bird,USA,Gómez & Schupp (per. obs.),
1400,Pinus_parviflora,Pinus parviflora,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Japan,Lanner (1996),
1406,Pinus_ponderosa,Pinus ponderosa,Pinus,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Lorenz et al. (2011),
1412,Pinus_pumila,Pinus pumila,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Japan,Hayashida (2003),
1417,Pinus_pumila,Pinus pumila,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Japan,Kajimoto (2002),
1418,Pinus_pumila,Pinus pumila,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Japan,Lanner (1996),
1419,Pinus_pumila,Pinus pumila,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Japan,Lanner (1996),
1425,Pinus_sibirica,Pinus sibirica,Pinus,Pinaceae,Tropical,Primary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1426,Pinus_sibirica,Pinus sibirica,Pinus,Pinaceae,Temperate,Primary,Nucifraga_caryocatactes,Corvidae,cache,Bird,Siberia,Lanner (1996),
1428,Pinus_strobiformis,Pinus strobiformis,Pinus,Pinaceae,Arid,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Benkman et al. (1984),
1430,Pinus_strobiformis,Pinus strobiformis,Pinus,Pinaceae,Arid,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Samano & Tomback (2003),
1445,Pipturus_albidus,Pipturus albidus,Pipturus,Urticaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1451,Pittosporum_hosmeri,Pittosporum hosmeri,Pittosporum,Pittosporaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1489,Polyscias_hawaiiensis,Polyscias hawaiiensis,Polyscias,Araliaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1505,Pouteria_sandwicensis,Pouteria sandwicensis,Pouteria,Sapotaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1512,Pritchardia_schattaueri,Pritchardia schattaueri,Pritchardia,Arecaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1559,Prunus_dulcis,Prunus dulcis,Prunus,Rosaceae,Mediterranean,Primary,Corvus_corone,Corvidae,cache,Bird,Spain,Homet-Gutierrez et al. (2015),
1560,Prunus_dulcis,Prunus dulcis,Prunus,Rosaceae,Mediterranean,Primary,Pica_pica,Corvidae,cache,Bird,Spain,Homet-Gutierrez et al. (2015),
1563,Prunus_ilicifolia,Prunus ilicifolia,Prunus,Rosaceae,Temperate,Secondary,Aphelocoma_insularis,Corvidae,cache,Bird,USA,Pesendorger et al. (2016b),
1587,Pseudotsuga_menziesii,Pseudotsuga menziesii,Pseudotsuga,Pinaceae,Temperate,Primary,Nucifraga_columbiana,Corvidae,cache,Bird,USA,Vander Wall (1990),
1594,Psychotria_hawaiiensis,Psychotria hawaiiensis,Psychotria,Rubiaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1603,Quercus_agrifolia,Quercus agrifolia,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_coerulescens; Pica_nuttalli,Corvidae,cache,Bird,USA,Griffin (1971),
1608,Quercus_agrifolia,Quercus agrifolia,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_insularis,Corvidae,cache,Bird,USA,Pesendorger et al. (2016b),
1620,Quercus_alba,Quercus alba,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Moore & Swihart (2006),
1622,Quercus_alba,Quercus alba,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Scarlett & Smith (1991),
1627,Quercus_brantii,Quercus brantii,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Iran,Gholami et al. (2018),
1628,Quercus_calliprinos,Quercus calliprinos,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Israel,Sheffer et al. (2013),
1630,Quercus_canariensis,Quercus canariensis,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Spain,Gómez (per. obs.),
1639,Quercus_cerris,Quercus cerris,Quercus,Fagaceae,Temperate,Primary,Corvus_frugilegus,Corvidae,cache,Bird,UK,Richards (1958),
1640,Quercus_cerris,Quercus cerris,Quercus,Fagaceae,Arid,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Crete,Thanos (2005),
1641,Quercus_chapmanii,Quercus chapmanii,Quercus,Fagaceae,Tropical,Primary,Aphelocoma_coerulescens_coerulescens,Corvidae,cache,Bird,USA,DeGange et al. (1989),
1642,Quercus_chapmanii,Quercus chapmanii,Quercus,Fagaceae,Temperate,Primary,Aphelocoma_spp,Corvidae,cache,Bird,USA,Pesendorfer et al. (2016a),
1648,Quercus_coccinea,Quercus coccinea,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Johnson & Webb (1989),
1658,Quercus_crispipilis,Quercus crispipilis,Quercus,Fagaceae,Tropical,Primary,Cyanocitta_stelleri_ridgwayi,Corvidae,cache,Bird,Mexico,Quintana-Ascensio et al. (1992),
1659,Quercus_crispipilis,Quercus crispipilis,Quercus,Fagaceae,Tropical,Primary,Cyanolyca_pumilo_pumilo,Corvidae,cache,Bird,Mexico,Quintana-Ascensio et al. (1992),
1666,Quercus_douglasii,Quercus douglasii,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_coerulescens; Pica_nuttalli,Corvidae,cache,Bird,USA,Griffin (1971),
1671,Quercus_dumosa,Quercus dumosa,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_coerulescens; Pica_nuttalli,Corvidae,cache,Bird,USA,Forde & Faris (1962),
1672,Quercus_durata,Quercus durata,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_coerulescens; Pica_nuttalli,Corvidae,cache,Bird,USA,Forde & Faris (1962),
1674,Quercus_ellipsoidalis,Quercus ellipsoidalis,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Johnson & Webb (1989),
1675,Quercus_emoryi,Quercus emoryi,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_ultramarinus,Corvidae,cache,Bird,USA,Hubbard (1995),
1676,Quercus_emoryi,Quercus emoryi,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_coerulescens,Corvidae,cache,Bird,USA,Pase (1969),
1677,Quercus_faginea,Quercus faginea,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Spain,Gómez (per. obs.),
1679,Quercus_falcata,Quercus falcata,Quercus,Fagaceae,Temperate,Primary,Aphelocoma_coerulescens,Corvidae,cache,Bird,USA,Barras et al. (1996),
1680,Quercus_frainetto,Quercus frainetto,Quercus,Fagaceae,Arid,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Crete,Thanos (2005),
1682,Quercus_gambelii,Quercus gambelii,Quercus,Fagaceae,Temperate,Primary,Aphelocoma_coerulescens,Corvidae,cache,Bird,USA,https://www.fs.fed.us/database/feis/plants/tree/quegam/all.html,
1683,Quercus_garryana,Quercus garryana,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_stelleri,Corvidae,cache,Bird,Canada,Fuchs et al. (1999),
1686,Quercus_geminata,Quercus geminata,Quercus,Fagaceae,Tropical,Primary,Aphelocoma_coerulescens_coerulescens,Corvidae,cache,Bird,USA,DeGange et al. (1989),
1688,Quercus_germana,Quercus germana,Quercus,Fagaceae,Tropical,Primary,Aphelocoma_unicolor,Corvidae,cache,Bird,Mexico,Pérez-Ramos et al. (2017),
1694,Quercus_glauca,Quercus glauca,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Japan,Hiroki (2001),
1695,Quercus_glauca,Quercus glauca,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Japan,Matsuse & Hiroki (2009),
1708,Quercus_ilex,Quercus ilex,Quercus,Fagaceae,Mediterranean,Primary,Pica pica,Corvidae,cache,Bird,Spain,Martínez-Baroja et al. (2018),
1709,Quercus_ilex,Quercus ilex,Quercus,Fagaceae,Mediterranean,Primary,Corvus_cornix,Corvidae,cache,Bird,Italy,Melletti & Mirabile (2010),
1710,Quercus_ilex,Quercus ilex,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Spain,Morán-López et al. (2015a),
1712,Quercus_ilex,Quercus ilex,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Spain,Pons & Pausas (2007a),
1713,Quercus_ilex,Quercus ilex,Quercus,Fagaceae,Temperate,Primary,Corvus_frugilegus,Corvidae,cache,Bird,UK,Richards (1958),
1715,Quercus_infectoria,Quercus infectoria,Quercus,Fagaceae,Arid,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Crete,Thanos (2005),
1716,Quercus_inopina,Quercus inopina,Quercus,Fagaceae,Tropical,Primary,Aphelocoma_coerulescens_coerulescens,Corvidae,cache,Bird,USA,DeGange et al. (1989),
1719,Quercus_laeta,Quercus laeta,Quercus,Fagaceae,Arid,Primary,Aphelocoma_sp-,Corvidae,cache,Bird,Mexico,Ramos-Palacios & Baldano (2014),
1723,Quercus_lanata,Quercus lanata,Quercus,Fagaceae,Temperate,Primary,Garrulus_lanceolatus,Corvidae,cache,Bird,Nepal,Turcek & Kelso (1968),
1729,Quercus_liaotungensis,Quercus liaotungensis,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,China,Wang & Ma (1999),
1732,Quercus_lobata,Quercus lobata,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_coerulescens; Pica_nuttalli,Corvidae,cache,Bird,USA,Griffin (1971),
1737,Quercus_lobata,Quercus lobata,Quercus,Fagaceae,Temperate,Primary,Aphelocoma_californica,Corvidae,cache,Bird,USA,Pesendorfer & Koenig (2016),
1738,Quercus_lobata,Quercus lobata,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_stelleri,Corvidae,cache,Bird,USA,Pesendorfer & Koenig (2016),
1743,Quercus_macrocarpa,Quercus macrocarpa,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Dixon et al. (1997),
1745,Quercus_macrolepis,Quercus macrolepis,Quercus,Fagaceae,Arid,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Crete,Thanos (2005),
1747,Quercus_marilandica,Quercus marilandica,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Johnson & Webb (1989),
1763,Quercus_myrsinaefolia,Quercus myrsinaefolia,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Japan,Komuro & Koike (2005),
1764,Quercus_nigra,Quercus nigra,Quercus,Fagaceae,Temperate,Primary,Aphelocoma_coerulescens_coerulescens,Corvidae,cache,Bird,USA,Barras et al. (1996),
1766,Quercus_nuttallii,Quercus nuttallii,Quercus,Fagaceae,Temperate,Primary,Aphelocoma_coerulescens_coerulescens,Corvidae,cache,Bird,USA,Barras et al. (1996),
1774,Quercus_pacifica,Quercus pacifica,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_insularis,Corvidae,cache,Bird,USA,Pesendorger et al. (2016b),
1775,Quercus_palustris,Quercus palustris,Quercus,Fagaceae,Tropical,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Darley-Hill & Johnson (1981),
1776,Quercus_palustris,Quercus palustris,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Moore & Swihart (2006),
1778,Quercus_palustris,Quercus palustris,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Scarlett & Smith (1991),
1779,Quercus_pedunculiflora,Quercus pedunculiflora,Quercus,Fagaceae,Arid,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Crete,Thanos (2005),
1780,Quercus_petraea,Quercus petraea,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Netherlands,Den Ouden et al. (2005),
1781,Quercus_petraea,Quercus petraea,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Germany,Kollman & Schill (1996),
1785,Quercus_petraea,Quercus petraea,Quercus,Fagaceae,Temperate,Primary,Corvus_frugilegus,Corvidae,cache,Bird,UK,Richards (1958),
1786,Quercus_phellos,Quercus phellos,Quercus,Fagaceae,Temperate,Primary,Aphelocoma_coerulescens_coerulescens,Corvidae,cache,Bird,USA,Barras et al. (1996),
1787,Quercus_phellos,Quercus phellos,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Cypert & Webster (1948),
1788,Quercus_phellos,Quercus phellos,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Johnson & Webb (1989),
1789,Quercus_phellos,Quercus phellos,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Scarlett & Smith (1991),
1795,Quercus_pubescens,Quercus pubescens,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,France,Kunstler et al. (2004),
1797,Quercus_pyrenaica,Quercus pyrenaica,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Spain,Gómez (per. obs.),
1798,Quercus_pyrenaica,Quercus pyrenaica,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Spain,Perea et al. (2011c),
1806,Quercus_robur,Quercus robur,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Germany,Bieberich et al. (2016),
1808,Quercus_robur,Quercus robur,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Netherlands,Den Ouden et al. (2005),
1809,Quercus_robur,Quercus robur,Quercus,Fagaceae,Temperate,Primary,Corvus_frugilegus,Corvidae,cache,Bird,Sweden,Källander (2007),
1810,Quercus_robur,Quercus robur,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Poland,Myczko et al. (2014),
1812,Quercus_robur,Quercus robur,Quercus,Fagaceae,Temperate,Primary,Corvus_frugilegus,Corvidae,cache,Bird,UK,Richards (1958),
1815,Quercus_rubra,Quercus rubra,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Germany,Bieberich et al. (2016),
1822,Quercus_rubra,Quercus rubra,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Dixon et al. (1997),
1824,Quercus_rubra,Quercus rubra,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Moore & Swihart (2006),
1826,Quercus_rubra,Quercus rubra,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Poland,Myczko et al. (2014),
1830,Quercus_rugosa,Quercus rugosa,Quercus,Fagaceae,Tropical,Primary,Aphelocoma_sp,Corvidae,cache,Bird,Mexico,López-Barrera & González-Espinosa (2001),
1840,Quercus_serrata,Quercus serrata,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Japan,Iida (2006),
1851,Quercus_stellata,Quercus stellata,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Scarlett & Smith (1991),
1852,Quercus_suber,Quercus suber,Quercus,Fagaceae,Arid,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Portugal,Pausas et al. (2009),
1856,Quercus_suber,Quercus suber,Quercus,Fagaceae,Mediterranean,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Spain,Pons & Pausas (2007a),
1857,Quercus_turbinella,Quercus turbinella,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_coerulescens; Pica_nuttalli,Corvidae,cache,Bird,USA,Griffin (1971),
1860,Quercus_turbinella,Quercus turbinella,Quercus,Fagaceae,Mediterranean,Primary,Aphelocoma_coerulescens,Corvidae,cache,Bird,USA,Pase (1969),
1865,Quercus_variabilis,Quercus variabilis,Quercus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Japan,Hiroki (2001),
1883,Quercus_velutina,Quercus velutina,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Moore & Swihart (2006),
1884,Quercus_velutina,Quercus velutina,Quercus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Scarlett & Smith (1991),
1894,Quercus_xalapensis,Quercus xalapensis,Quercus,Fagaceae,Tropical,Primary,Aphelocoma_unicolor,Corvidae,cache,Bird,Mexico,Pérez-Ramos et al. (2017),
