Code,Target_species,sp,Target_Genus,Target_Family,Habitat,Dispersal.Phase,hoarder_Species,hoarder_Family,mode,Disperser_group,Location,Source,
76,Alyxia_oliviformis,Alyxia oliviformis,Alyxia,Apocynaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
112,Araucaria_angustifolia,Araucaria angustifolia,Araucaria,Araucariaceae,Tropical,Primary,C. chrysops,Corvidae,cache,Bird,Brazil,Brocardo et al. (2017),
370,Carya_illinoensis,Carya illinoensis,Carya,Juglandaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Johnson & Webb (1989),
380,Carya_ovata,Carya ovata,Carya,Juglandaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Moore & Swihart (2006),
396,Castanea_sativa,Castanea sativa,Castanea,Fagaceae,Mediterranean,Primary,Pica_pica,Corvidae,cache,Bird,Spain,Gómez (per. obs.),
399,Castanopsis_cuspidata,Castanopsis cuspidata,Castanopsis,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Japan,Hiroki (2001),
400,Castanopsis_cuspidata,Castanopsis cuspidata,Castanopsis,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Japan,Hiroki (2001),
453,Cheirodendron_trigynum,Cheirodendron trigynum,Cheirodendron,Araliaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
501,Clermontia_hawaiiensis,Clermontia hawaiiensis,Clermontia,Campanulaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
502,Clermontia_parviflora,Clermontia parviflora,Clermontia,Campanulaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
533,Coprosma_rhynocarpa,Coprosma rhynocarpa,Coprosma,Rubiaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
548,Corylus_avellana,Corylus avellana,Corylus,Betulaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,Germany,Kollman & Schill (1996),
552,Corylus_cornuta,Corylus cornuta,Corylus,Betulaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Johnson & Webb (1989),
632,Diospyros_sandwisense,Diospyros sandwisense,Diospyros,Ebenaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
652,Dracaena_hawaiiensis,Dracaena hawaiiensis,Dracaena,Asparagaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
761,Fagus_grandiflora,Fagus grandiflora,Fagus,Fagaceae,Temperate,Primary,Cyanocitta_cristata,Corvidae,cache,Bird,USA,Johnson & Adkisson (1985),
766,Fagus_sylvatica,Fagus sylvatica,Fagus,Fagaceae,Temperate,Primary,Garrulus_glandarius,Corvidae,cache,Bird,France,Kunstler et al. (2004),
911,Ilex_anomala,Ilex anomala,Ilex,Aquifoliaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
953,Juglans_regia,Juglans regia,Juglans,Juglandaceae,Mediterranean,Primary,Pica_pica,Corvidae,cache,Bird,Spain,Castro et al. (2017),
954,Juglans_regia,Juglans regia,Juglans,Juglandaceae,Temperate,Primary,Corvus_brachyrhynchos,Corvidae,cache,Bird,USA,Cristol (2005),
987,Larix_griffithii,Larix griffithii,Larix,Pinaceae,Temperate,Primary,Garrulus_lanceolatus,Corvidae,cache,Bird,Nepal,Turcek & Kelso (1968),
1108,Marah_macrocarpus,Marah macrocarpus,Marah,Cucurbitaceae,Mediterranean,Secondary,Aphelocoma_californica,Corvidae,cache,Bird,USA,Borchert (2004),
1161,Myoporum_sandwisense,Myoporum sandwisense,Myoporum,Scrophulariaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
1175,Myrsine_lanaiensis,Myrsine lanaiensis,Myrsine,Primulaceae,Tropical,Secondary,Corvus_hawaiiensis,Corvidae,cache,Bird,Hawai,Culliney et al. (2012),
