No.,Species,sp,accepted.family,hemisphere,latitude,longitude,StudyLocation.filter,Country,SeedMass,SeedMass.Source,SeedReleaseHeight,SeedReleaseHeight.Source,MaximumSDD,MeanSDD,mode,E or M,GF.binary,Reference.EL
4,Abutilon theophrasti,Abutilon theophrasti,Malvaceae,N,42.32694444,-71.17805556,"Hammond Woods, Newton, Massachusetts (Webster Conservation Area)",USA,9,paper,NA,NA,1.04,NA,abiotic,experiment,herbaceous,Primack & Miao 1992
7,Acer cappadocicum,Acer cappadocicum,Sapindaceae,N,53.28277778,-3.829444444,"Conway, Wales",UK,84.2,paper,20,eFloras,48.2,NA,abiotic,model,woody,Matlack 1987
8,Acer griseum,Acer griseum,Sapindaceae,N,53.28277778,-3.829444444,"Conway, Wales",UK,1453.4,Kew,20,eFloras,29.2,NA,abiotic,model,woody,Matlack 1987
9,Acer negundo,Acer negundo,Sapindaceae,N,39.68361111,-75.74972222,"Newark, DE",USA,33.7,paper,20,paper,41.1,NA,abiotic,model,woody,Matlack 1987
10,Acer palmatum,Acer palmatum,Sapindaceae,N,53.28277778,-3.829444444,"Conway, Wales",UK,41.68,paper,15,eFloras,11.6,NA,abiotic,model,woody,Matlack 1987
12,Acer platanoides,Acer platanoides,Sapindaceae,N,39.68361111,-75.74972222,"Newark, DE",USA,133.7,paper,25,LEDA,50.3,NA,abiotic,model,woody,Matlack 1987
14,Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,N,53.23277778,-4.100555556,"Llandegai, Wales",UK,88.77,paper,25,paper,60.1,NA,abiotic,model,woody,Matlack 1987
17,Acer rubrum,Acer rubrum,Sapindaceae,N,40.35833333,-74.66722222,"Princeton, NJ",USA,14.2,paper,20.7264,USDA,160,NA,abiotic,experiment,woody,Green 1980
18,Acer rubrum,Acer rubrum,Sapindaceae,N,45.99722222,-77.42777778,Petawawa National Forestry Institute in southeast Ontario,Canada,26.5,paper,20.7264,USDA,475,NA,abiotic,experiment,woody,Greene & Johnson 1995
19,Acer rubrum,Acer rubrum,Sapindaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,1.98,paper,20.7264,USDA,98.7,NA,abiotic,model,woody,Matlack 1987
20,Acer rubrum,Acer rubrum,Sapindaceae,N,35.96666667,-79.13333333,"Blackwood Division, Duke Forest, North Carolina",USA,26.5,paper,20.7264,USDA,11371,NA,abiotic,model,woody,Higgins et al. 2003b
25,Acer saccharum,Acer saccharum,Sapindaceae,N,40.35833333,-74.66722222,"Princeton, NJ",USA,53.4,paper,30.48,USDA,100,NA,abiotic,experiment,woody,Green 1980
26,Acer saccharum,Acer saccharum,Sapindaceae,N,51.2275,-116.0497222,"Vermilion Pass, Banff National Park, Alberta",Canada,55.2,paper,30.48,USDA,150,NA,abiotic,experiment,woody,Greene & Johnson 1996
35,Agropyron repens,Elymus repens,Poaceae,N,52.11666667,-106.5,"Saskatoon, Saskatchewan",Canada,2.1,paper,0.79248,USDA,NA,7,abiotic,experiment,herbaceous,Hume & Archibold 1986
38,Ailanthus altissima,Ailanthus altissima,Simaroubaceae,N,39.73888889,-75.53972222,"Wilmington, DE",USA,26.91,paper,25,LEDA,111.6,NA,abiotic,model,woody,Matlack 1987
