No.,Species,sp,accepted.family,hemisphere,latitude,longitude,StudyLocation.filter,Country,SeedMass,SeedMass.Source,SeedReleaseHeight,SeedReleaseHeight.Source,MaximumSDD,MeanSDD,mode,E or M,GF.binary,Reference.EL
39,Albizia julibrissin,Albizia julibrissin,Fabaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,612.95,paper,6.096,USDA,16.2,NA,abiotic,model,woody,Matlack 1987
44,Alnus crispa,Alnus alnobetula,Betulaceae,N,44.10027778,-70.21472222,"Lewiston, ME",USA,0.35,paper,8,internet (http://www.borealforest.org),6.65,NA,abiotic,model,woody,Matlack 1987
47,Alseis blackiana,Alseis blackiana,Rubiaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,0.181,paper,35,paper,377,141,abiotic,model,woody,Augspurger 1986
51,Andropogon glomeratus,Andropogon glomeratus,Poaceae,N,30.41972222,-83.30055556,"Lee, Florida",USA,0.32,paper,1,paper,13.8,NA,abiotic,model,herbaceous,Campbell 1983
52,Andropogon gyrans,Andropogon gyrans,Poaceae,N,30.33222222,-81.65555556,"Jackson, Florida",USA,0.75,paper,1,paper,10.3,NA,abiotic,model,herbaceous,Campbell 1983
53,Andropogon longiberbis,Andropogon longiberbis,Poaceae,N,29.68722222,-82.82097222,"Gilchrist, Florida",USA,0.65,paper,1,paper,7.35,NA,abiotic,model,herbaceous,Campbell 1983
54,Andropogon virginicus,Andropogon virginicus,Poaceae,N,30.33222222,-81.65555556,"Jackson, Florida",USA,0.35,paper,1,paper,8.6,NA,abiotic,model,herbaceous,Campbell 1983
58,Apocynum cannabinum,Apocynum cannabinum,Apocynaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,1.78,paper,1.00584,USDA,83.3,NA,abiotic,model,herbaceous,Matlack 1987
63,Aristida congesta,Aristida congesta,Poaceae,S,-24.62833333,25.92305556,Gaborone,Botswana,0.48,paper,0.5,paper,2.31,NA,abiotic,model,herbaceous,Ernst et al. 1992
68,Artemisia frigida,Artemisia frigida,Asteraceae,N,52.11666667,-106.5,"Saskatoon, Saskatchewan",Canada,0.08,Kew,0.7,eFloras,25,3,abiotic,experiment,herbaceous,Hume & Archibold 1986
69,Artemisia herba-alba,Artemisia herba-alba,Asteraceae,N,30.88027778,34.8575,Sede Boqer,Israel,0.23,paper,0.25,paper,0.8,0.16,abiotic,experiment,herbaceous,Friedman & Orshan 1975
72,Asclepias syriaca,Asclepias syriaca,Apocynaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,8.38,paper,1,paper,18.1,NA,abiotic,model,herbaceous,Matlack 1987
75,Aspidosperma cruentum,Aspidosperma desmanthum,Apocynaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,871,paper,35,paper,258,97,abiotic,model,woody,Augspurger 1986
76,Aster acuminatus,Oclemena acuminata,Asteraceae,N,44.06111111,-71.62583333,"Hubbard Brook Experimental Forest, New Hampshire",USA,0.44,paper,0.8,internet (hortipedia),5.25,1.18,abiotic,experiment,herbaceous,Hughes et al. 1988
77,Aster acuminatus,Oclemena acuminata,Asteraceae,N,44.10027778,-70.21472222,"Lewiston, ME",USA,0.44,paper,0.8,internet (hortipedia),5.08,NA,abiotic,model,herbaceous,Matlack 1987
78,Aster prenanthoides,Symphyotrichum prenanthoides,Asteraceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,0.33,paper,1.2192,USDA,3.11,NA,abiotic,model,herbaceous,Matlack 1987
83,Astronium graveolens,Astronium graveolens,Anacardiaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,47.5,paper,35,paper,184,69,abiotic,model,woody,Augspurger 1986
91,Betula alleghaniensis,Betula alleghaniensis,Betulaceae,N,45.55833333,-74.44972222,"Carillon Park (Voyageur Provincial Park), Ontario",Canada,0.9,paper,22.86,USDA,268,85,abiotic,experiment,woody,Greene & Johnson 1997
92,Betula lenta,Betula lenta,Betulaceae,N,44.10027778,-70.21472222,"Lewiston, ME",USA,0.7,paper,18.288,USDA,85,NA,abiotic,model,woody,Matlack 1987
93,Betula papyrifera,Betula papyrifera,Betulaceae,N,45.99722222,-77.42777778,Petawawa National Forestry Institute in southeast Ontario,Canada,0.4,paper,21.336,USDA,475,NA,abiotic,experiment,woody,Greene & Johnson 1995
94,Betula populifolia,Betula populifolia,Betulaceae,N,44.10027778,-70.21472222,"Lewiston, ME",USA,0.11,paper,7.62,USDA,64.1,NA,abiotic,model,woody,Matlack 1987
101,Pachira quinata,Pachira quinata,Malvaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,32.9,paper,35,paper,324,121.5,abiotic,model,woody,Augspurger 1986
104,Pachira sessilis,Pachira sessilis,Malvaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,462,paper,25,paper,88,66,abiotic,model,woody,Augspurger 1986
108,Bromus inermis,Bromus inermis,Poaceae,N,52.11666667,-106.5,"Saskatoon, Saskatchewan",Canada,2.9,paper,0.9,paper,7,1.72,abiotic,experiment,herbaceous,Hume & Archibold 1986
127,Carduus tenuiflorus,Carduus tenuiflorus,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,3.5,paper,2,paper,2.12,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
134,Carex sp.,Carex sp.,Cyperaceae,N,52.11666667,-106.5,"Saskatoon, Saskatchewan",Canada,NA,NA,NA,NA,3,1.07,abiotic,experiment,herbaceous,Hume & Archibold 1986
136,Carlina vulgaris,Carlina vulgaris,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,1.4,paper,0.6,paper,1.47,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
141,Carpinus caroliniana,Carpinus caroliniana,Betulaceae,N,39.68361111,-75.74972222,"Newark, DE",USA,81.28,paper,9.144,USDA,19.4,NA,abiotic,model,woody,Matlack 1987
143,Carya glabra,Carya glabra,Juglandaceae,N,35.96666667,-79.13333333,"Blackwood Division, Duke Forest, North Carolina",USA,3502,paper,24.384,USDA,646.8,NA,abiotic,model,woody,Higgins et al. 2003b
148,Catalpa bignonioides,Catalpa bignonioides,Bignoniaceae,N,39.80888889,-75.60361111,"Winterthur, DE",USA,35.3,paper,20.1168,USDA,16.8,NA,abiotic,model,woody,Matlack 1987
151,Cavanillesia platanifolia,Cavanillesia platanifolia,Malvaceae,N,9.166666667,-79.85,Barro Colorado Island,Panama,3040,paper,39,paper,224,62.1,abiotic,EM,woody,Augspurger 1986; Augspurger et al. 2017
155,Cedrela odorata,Cedrela odorata,Meliaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,14.1,paper,35,paper,410,154,abiotic,model,woody,Augspurger 1986
159,Ceiba pentandra,Ceiba pentandra,Malvaceae,N,9.166666667,-79.85,Barro Colorado Island,Panama,74.1,paper,42,paper,314,76.45,abiotic,EM,woody,Augspurger 1986; Augspurger et al. 2017
160,Cenchrus ciliaris,Cenchrus ciliaris,Poaceae,S,-24.62833333,25.92305556,Gaborone,Botswana,1.51,paper,0.9,paper,7.26,NA,abiotic,model,herbaceous,Ernst et al. 1992
166,Centaurea scabiosa,Centaurea scabiosa,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,6.5,paper,1.5,paper,1.56,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
175,Cespedesia macrophylla,Cespedesia spathulata,Ochnaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,0.132,paper,35,paper,775,291,abiotic,model,woody,Augspurger 1986
176,Chamaecyparis thyoides,Chamaecyparis thyoides,Cupressaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,32.36,paper,15.24,USDA,68.8,NA,abiotic,model,woody,Matlack 1987
178,Chloris virgata,Chloris virgata,Poaceae,S,-24.62833333,25.92305556,Gaborone,Botswana,0.57,paper,0.5,paper,5.56,NA,abiotic,model,herbaceous,Ernst et al. 1992
183,Cirsium arvense,Cirsium arvense,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,1.3,paper,1.2,paper,11.35,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
188,Cirsium palustre,Cirsium palustre,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,1.67,paper,1.93,paper,6.81,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
192,Cirsium vulgare,Cirsium vulgare,Asteraceae,N,53.28277778,-3.829444444,"Conway, Wales",UK,3.64,paper,2,paper,11.6,NA,abiotic,model,herbaceous,Matlack 1987
195,Clematis virginiana,Clematis virginiana,Ranunculaceae,N,39.68361111,-75.74972222,"Newark, DE",USA,7.2,paper,4.572,USDA,3.23,NA,abiotic,model,woody,Matlack 1987
199,Cochlospermum vitifolium,Cochlospermum vitifolium,Bixaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,24.8,paper,15,paper,96,36,abiotic,model,woody,Augspurger 1986
205,Cordia alliodora,Cordia alliodora,Boraginaceae,N,9.166666667,-79.85,Barro Colorado Island,Panama,6.3,paper,25,paper,140,32.4,abiotic,EM,woody,Augspurger 1986; Augspurger et al. 2017
207,Cornus controversa,Cornus controversa,Cornaceae,N,36.93333333,140.5833333,"Ogawa Forest Reserve (OFR) in Kitaibaraki, Ibaraki",Japan,44,paper,25,paper,35,NA,abiotic,experiment,woody,Masaki et al. 1994
211,Couratari panamensis,Couratari guianensis,Lecythidaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,236,paper,35,paper,229,85.5,abiotic,model,woody,Augspurger 1986
220,Dalbergia retusa,Dalbergia retusa,Fabaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,248,paper,25,paper,117,43.5,abiotic,model,woody,Augspurger 1986
233,Enneapogon cenchroides,Enneapogon cenchroides,Poaceae,S,-24.62833333,25.92305556,Gaborone,Botswana,0.33,paper,0.8,paper,13.11,NA,abiotic,model,herbaceous,Ernst et al. 1992
237,Epilobium angustifolium,Epilobium angustifolium,Onagraceae,N,53.23277778,-4.100555556,"Llandegai, Wales",UK,0.44,paper,3,paper,35.7,NA,abiotic,model,herbaceous,Matlack 1987
246,Eragrostis rigidior,Eragrostis cylindriflora,Poaceae,S,-24.62833333,25.92305556,Gaborone,Botswana,0.13,paper,1.1,paper,10.19,NA,abiotic,model,herbaceous,Ernst et al. 1992
254,Erigeron acer,Erigeron acer,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.10481164,LEDA,0.6,paper,3.61,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
264,Eucalyptus regnans,Eucalyptus regnans,Myrtaceae,S,-42.76,146.4,"Florentine Valley, Tasmania",Australia,2.56,paper,90,internet (EUCLID),150,30,abiotic,experiment,woody,Cremer 1966
265,Eupatorium cannabinum,Eupatorium cannabinum,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.335,paper,1.5,paper,7.81,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973; Matlack 1987
270,Eupatorium rugosum,Ageratina altissima,Asteraceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,0.12,paper,0.8,eFloras,7.1,NA,abiotic,model,herbaceous,Matlack 1987
275,Fraxinus americana,Fraxinus americana,Oleaceae,N,40.35833333,-74.66722222,"Princeton, NJ",USA,70.4,paper,27.432,USDA,70.71,NA,abiotic,experiment,woody,Green 1980
276,Fraxinus americana,Fraxinus americana,Oleaceae,N,51.2275,-116.0497222,"Vermilion Pass, Banff National Park, Alberta",Canada,38.1,paper,27.432,USDA,130,NA,abiotic,experiment,woody,Greene & Johnson 1996
277,Fraxinus americana,Fraxinus americana,Oleaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,24.6,paper,27.432,USDA,70.1,NA,abiotic,model,woody,Matlack 1987
278,Fraxinus excelsior,Fraxinus excelsior,Oleaceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,46.19,paper,40,paper,40.3,NA,abiotic,model,woody,Matlack 1987
292,Halesia monticola,Halesia monticola,Styracaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,322.1,paper,24,internet (wikipedia),18.5,NA,abiotic,model,woody,Matlack 1987
297,Heterotheca latifolia,Heterotheca latifolia,Hydrocharitaceae,N,30.3,-97.78333333,"Austin, Texas",USA,0.712,paper,1,paper,19,1.65,abiotic,experiment,herbaceous,Venable & Levin 1985
299,Heterotheca latifolia,Heterotheca latifolia,Hydrocharitaceae,N,30.3,-97.78333333,"Austin, Texas",USA,0.73,paper,1,paper,11,0.93,abiotic,experiment,herbaceous,Venable & Levin 1985
300,Hieracium aurantiacum,Hieracium aurantiacum,Asteraceae,N,42.40555556,-85.40083333,"Kellogg Biological Station of Michigan State University, Kalamazoo County, Michigan",USA,0.146428533,LEDA,0.5,paper,1.9,NA,abiotic,experiment,herbaceous,Stergios 1976
306,Hieracium umbellatum,Hieracium umbellatum,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.65,paper,1.03,paper,3.03,NA,abiotic,model,herbaceous,Matlack 1987
311,Hypericum gentianoides,Hypericum gentianoides,Hypericaceae,N,42.32694444,-71.17805556,"Hammond Woods, Newton, Massachusetts (Webster Conservation Area)",USA,0.04,paper,0.6096,USDA,0.5,NA,abiotic,experiment,herbaceous,Primack & Miao 1992
316,Hypochoeris radicata,Hypochoeris radicata,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.8,paper,0.6,paper,2,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
327,Jacaranda copaia,Jacaranda copaia,Bignoniaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,6.5,paper,30,paper,538,202,abiotic,model,woody,Augspurger 1986
335,Juniperus virginiana,Juniperus virginiana,Cupressaceae,N,45.99722222,-77.42777778,Petawawa National Forestry Institute in southeast Ontario,Canada,15.1,paper,19.812,USDA,1200,NA,abiotic,experiment,woody,Greene & Johnson 1995
339,Lafoensia punicifolia,Lafoensia punicifolia,Lythraceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,38,paper,30,paper,192,72.5,abiotic,model,woody,Augspurger 1986
341,Larix laricina,Larix laricina,Pinaceae,N,64.7,-148.3166667,"Bonanza Creek Experimental Forest, Fairbanks, Alaska (120m asl)",USA,2,paper,24.384,USDA,80,4.54,abiotic,experiment,woody,Brown et al. 1988
345,Leontodon autumnalis,Leontodon autumnalis,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.7,paper,0.45,paper,1.64,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
357,Liatris aspera,Liatris aspera,Asteraceae,N,42.44611111,-87.83055556,"Zion, Lake County, Illinois",USA,2.1,paper,1,paper,9,2.5,abiotic,experiment,herbaceous,Levin & Kerster 1974
358,Liatris cylindracea,Liatris cylindracea,Asteraceae,N,42.44611111,-87.83055556,"Zion, Lake County, Illinois",USA,3.26,paper,1,paper,9,2.5,abiotic,experiment,herbaceous,Levin & Kerster 1974
361,Liriodendron tulipifera,Liriodendron tulipifera,Magnoliaceae,N,40.35833333,-74.66722222,"Princeton, NJ",USA,31.2,paper,61,paper,86.6,NA,abiotic,experiment,woody,Green 1980
362,Liriodendron tulipifera,Liriodendron tulipifera,Magnoliaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,31.76,paper,61,paper,111.9,NA,abiotic,model,woody,Matlack 1987
368,Lonchocarpus velutinus,Lonchocarpus velutinus,Fabaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,127,paper,35,paper,239,89.5,abiotic,model,woody,Augspurger 1986
371,Luehea seemannii,Luehea seemannii,Malvaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,2.1,paper,35,paper,350,77.8,abiotic,model,woody,Augspurger 1986; van Putten et al. 2012
374,Luehea speciosa,Luehea speciosa,Malvaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,4.95,paper,25,paper,181,67.5,abiotic,model,woody,Augspurger 1986
381,Macrocnemum glabrescens,Macrocnemum roseum,Rubiaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,0.0194,paper,25,paper,340,127.5,abiotic,model,woody,Augspurger 1986
391,Mimulus guttatus,Mimulus guttatus,Phrymaceae,N,40.79638889,-111.7823333,"Red Butte Canyon, Salt Lake City",USA,0.002,paper,0.6,paper,4.75,NA,abiotic,experiment,herbaceous,Vickery et al. 1986
398,Myroxylon balsamum,Myroxylon balsamum,Fabaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,749,paper,35,paper,159,59.5,abiotic,model,woody,Augspurger 1986
403,Ochroma pyramidale,Ochroma pyramidale,Malvaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,14.8,paper,20,paper,228,85.5,abiotic,model,woody,Augspurger 1986
408,Panicum maximum,Panicum maximum,Poaceae,S,-24.62833333,25.92305556,Gaborone,Botswana,0.81,paper,1.4,paper,7.95,NA,abiotic,model,herbaceous,Ernst et al. 1992
432,Physalis subglabrata,Physalis subglabrata,Solanaceae,N,39.77777778,-75.77166667,"Landenburg, PA",USA,NA,NA,1.5,internet (PFAF),1.47,NA,abiotic,model,herbaceous,Matlack 1987
435,Picea engelmannii,Picea engelmannii,Pinaceae,N,51.2275,-116.0497222,"Vermilion Pass, Banff National Park, Alberta",Canada,3.2,paper,36.576,USDA,190,NA,abiotic,experiment,woody,Greene & Johnson 1996
437,Picea glauca,Picea glauca,Pinaceae,N,45.99722222,-77.42777778,Petawawa National Forestry Institute in southeast Ontario,Canada,2.4,paper,21,paper,475,4.84,abiotic,experiment,woody,Greene & Johnson 1995
443,Pinus contorta,Pinus contorta,Pinaceae,N,51.07805556,-114.1358333,campus of the University of Calgary,Canada,4.3125,paper,5.8,paper,65,10,abiotic,experiment,woody,Greene & Johnson 1989
448,Pinus resinosa,Pinus resinosa,Pinaceae,N,45.99722222,-77.42777778,Petawawa National Forestry Institute in southeast Ontario,Canada,8,paper,24.384,USDA,475,NA,abiotic,experiment,woody,Greene & Johnson 1995
452,Pinus strobus,Pinus strobus,Pinaceae,N,45.99722222,-77.42777778,Petawawa National Forestry Institute in southeast Ontario,Canada,17,paper,40,paper,475,NA,abiotic,experiment,woody,Greene & Johnson 1995
458,Plantago aristata,Plantago aristata,Plantaginaceae,N,42.32694444,-71.17805556,"Hammond Woods, Newton, Massachusetts (Webster Conservation Area)",USA,1.5,paper,0.35,internet (wikipedia),18,NA,abiotic,experiment,herbaceous,Primack & Miao 1992
460,Platanus occidentalis,Platanus occidentalis,Platanaceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,3.92,paper,25,paper,62.8,NA,abiotic,model,woody,Matlack 1987
463,Platymiscium pinnatum,Platymiscium pinnatum,Fabaceae,N,9.166666667,-79.85,Barro Colorado Island,Panama,462,paper,28,paper,191,43.05,abiotic,EM,woody,Augspurger 1986; Augspurger et al. 2017
464,Platypodium elegans,Platypodium elegans,Fabaceae,N,9.166666667,-79.85,Barro Colorado Island,Panama,1640,paper,35,paper,137,40.61666667,abiotic,EM,woody,Augspurger 1983; Augspurger 1986; Augspurger et al. 2016; Augspurger et al. 2017
478,Protea repens,Protea repens,Proteaceae,S,-33.34722222,21.90444444,"Groot Swartberg, southern Cape",South Africa,67.9,Kew,1.75,paper,531,10.75,abiotic,experiment,woody,Bond 1988
483,Pseudobombax septenatum,Pseudobombax septenatum,Malvaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,86.9,paper,25,paper,139,52.5,abiotic,model,woody,Augspurger 1986
484,Pseudotsuga menziesii,Pseudotsuga menziesii,Pinaceae,N,44.21222222,-122.2552778,"H. J. Andrews Experimental Forest, Willamette National Forest, Linn and Lane Counties, Oregon (elevation 700m)",USA,9.2,paper,90,paper,122,NA,abiotic,experiment,woody,Gashwiler 1969
485,Pseudotsuga menziesii,Pseudotsuga menziesii,Pinaceae,N,45.99722222,-77.42777778,Petawawa National Forestry Institute in southeast Ontario,Canada,9.2,paper,90,paper,800,NA,abiotic,experiment,woody,Greene & Johnson 1995
488,Pterocarpus rohrii,Pterocarpus rohrii,Fabaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,337,paper,35,paper,268,100.5,abiotic,model,woody,Augspurger 1986
509,Rumex obtusifolius,Rumex obtusifolius,Polygonaceae,N,44.10027778,-70.21472222,"Lewiston, ME",USA,3.32,paper,1.5,paper,2.48,NA,abiotic,model,herbaceous,Matlack 1987
514,Salsola iberica,Salsola iberica,Amaranthaceae,N,46.72977778,-117.1816667,"Pullman, Washington",USA,NA,NA,NA,NA,4069,3050,abiotic,experiment,woody,Stallings et al. 1995
520,Schmidtia pappophoroides,Schmidtia pappophoroides,Poaceae,S,-24.62833333,25.92305556,Gaborone,Botswana,5.62,paper,1.1,paper,7.59,NA,abiotic,model,herbaceous,Ernst et al. 1992
523,Schizachyrium scoparium,Schizachyrium scoparium,Poaceae,N,29.30138889,-94.79777778,"Galveston, Texas",USA,1.5,paper,1.5,paper,4.11,NA,abiotic,model,herbaceous,Campbell 1983
532,Senecio jacobaea,Senecio jacobaea,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.25,paper,1,paper,5.53,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
538,Senecio squalidus,Senecio squalidus,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.295,paper,0.6,paper,2.53,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973; Matlack 1987
544,Senecio viscosus,Senecio viscosus,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.51,paper,0.5,paper,2.57,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
548,Senecio vulgaris,Senecio vulgaris,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.22,paper,0.3,paper,2.9,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
555,Setaria verticillata,Setaria verticillata,Poaceae,S,-24.62833333,25.92305556,Gaborone,Botswana,0.8,paper,0.6,paper,1,0.41,abiotic,experiment,herbaceous,Ernst et al. 1992
561,Silphium laciniatum,Silphium laciniatum,Asteraceae,N,42.02916667,-93.63194444,"Black's Prairie, Ames, Iowa",USA,37,paper,3,eFloras,4.6,1.06,abiotic,experiment,herbaceous,Pleasants & Jurik 1992
565,Solidago altissima,Solidago altissima,Asteraceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,0.11,paper,2,eFloras,14.9,NA,abiotic,model,herbaceous,Matlack 1987
568,Solidago missouriensis,Solidago missouriensis,Asteraceae,N,52.11666667,-106.5,"Saskatoon, Saskatchewan",Canada,0.33,paper,0.9144,USDA,45,NA,abiotic,experiment,herbaceous,Hume & Archibold 1986
571,Sonchus arvensis,Sonchus arvensis,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.49,paper,1.5,paper,10,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
577,Sonchus oleraceus,Sonchus oleraceus,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.3,paper,1,paper,6.56,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
585,Sporobolus airoides,Sporobolus airoides,Poaceae,N,35.08527778,-106.6055556,"Rio Puerco watershed of west central New Mexico (Albuquerque, NM)",USA,0.26,paper,0.9144,USDA,15.2,NA,abiotic,experiment,herbaceous,Knipe & Springfield 1972
588,Stipa comata,Stipa comata,Poaceae,N,52.11666667,-106.5,"Saskatoon, Saskatchewan",Canada,5.28,paper,1,internet (http://calscape.org/Stipa-comata-(Needlegrass)?srchcr=sc568eff4426bd7),100,3,abiotic,experiment,herbaceous,Hume & Archibold 1986
592,Tabebuia guayacan,Handroanthus guayacan,Bignoniaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,35.7,paper,35,paper,223,83.5,abiotic,model,woody,Augspurger 1986
595,Tabebuia rosea,Tabebuia rosea,Bignoniaceae,N,9.166666667,-79.85,Barro Colorado Island,Panama,35.3,paper,28,paper,246,56.9,abiotic,EM,woody,Augspurger 1986; Augspurger et al. 2017
602,Taraxacum officinale,Taraxacum officinale,Asteraceae,N,39.7875,-75.69666667,"Hockessin, DE",USA,0.68,paper,0.1524,USDA,1.49,NA,abiotic,model,herbaceous,Matlack 1987
603,Taraxacum officinale,Taraxacum officinale,Asteraceae,N,53.21666667,-4.116666667,"Bangor, Wales",UK,0.7,paper,0.1524,USDA,2.27,NA,abiotic,model,herbaceous,Sheldon & Burrows 1973
610,Terminalia amazonia,Terminalia amazonia,Combretaceae,N,9.166666667,-79.83333333,Barro Colorado Island,Panama,4.07,paper,35,paper,335,125.5,abiotic,model,woody,Augspurger 1986
