source,site_id,lat,long,family,genus,species,sp,mode,color_desc,habit,fruit_length
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Clusia,belizensis,Clusia belizensis,endo,unknown,shrub,20
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Clusia,penduliflora,Clusia penduliflora,endo,green,epiphyte,27.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Clusia,rosea,Clusia rosea,endo,white,epiphyte,42.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Clusia,salvinii,Clusia salvinii,endo,red,tree,15
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Clusia,stenophylla,Clusia stenophylla,endo,green,epiphyte,20
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Clusia,uvitana,Clusia uvitana,endo,unknown,epiphyte,27.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Dystovomita,panuclata,Dystovomita panuclata,endo,yellow,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Garcinia,madruno,Garcinia madruno,endo,yellow,tree,32.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Garcinia,intermedia,Garcinia intermedia,endo,orange,tree,25
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Symphonia,globulifera,Symphonia globulifera,endo,brown,tree,25
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Clusiaceae,Tovomita,weddelliana,Tovomita weddelliana,endo,brown,tree,32.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cayaponia,attenuata,Cayaponia attenuata,endo,orange,climber,10
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cayaponia,racemosa,Cayaponia racemosa,endo,orange,climber,18.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cayaponia,glandulosa,Cayaponia glandulosa,endo,,climber,21
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cayaponia,longiloba,Cayaponia longiloba,endo,black,climber,14
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cayaponia,macrocalyx,Cayaponia macrocalyx,endo,green,climber,35
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cionosicys,macranthus,Cionosicys macranthus,endo,orange,climber,45
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cionosicys,guabubu,Cionosicys guabubu,endo,white,climber,90
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Citrullus,lanatus,Citrullus lanatus,endo,green,herb,600
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Coccinia,grandis,Coccinia grandis,endo,,climber,45
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cucumis,melo,Cucumis melo,endo,white,herb,512.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cucumis,anguria,Cucumis anguria,endo,yellow,herb,37.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cucumis,sativus,Cucumis sativus,endo,yellow,herb,190
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cucurbita,ficifolia,Cucurbita ficifolia,endo,green,climber,250
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cucurbita,lundelliana,Cucurbita lundelliana,endo,yellow,herb,85
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cucurbita,maxima,Cucurbita maxima,endo,unknown,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cucurbita,moschata,Cucurbita moschata,endo,orange,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cucurbita,pepo,Cucurbita pepo,endo,,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cyclanthera,brachystachya,Cyclanthera brachystachya,endo,green,climber,27.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cyclanthera,dissecta,Cyclanthera dissecta,endo,green,climber,17.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cyclanthera,langaei,Cyclanthera langaei,endo,green,climber,30
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cyclanthera,multifoliola,Cyclanthera multifoliola,endo,white,climber,30
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cyclanthera,pedata,Cyclanthera pedata,endo,white,climber,105
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Cyclanthera,ribiflora,Cyclanthera ribiflora,endo,green,climber,20
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Doyerea,emetocathartica,Doyerea emetocathartica,endo,red,climber,14
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Echinopepon,wrightii,Echinopepon wrightii,endo,unknown,,45
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Echinopepon,racemosus,Echinopepon racemosus,endo,unknown,,40
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Elateriopsis,oerstedii,Elateriopsis oerstedii,endo,white,climber,6.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Fevillea,cordifolia,Fevillea cordifolia,endo,green,climber,140
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Gurania,makoyana,Gurania makoyana,endo,green,climber,67.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Gurania,costaricensis,Gurania costaricensis,endo,unknown,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Gurania,eriantha,Gurania eriantha,endo,unknown,climber,30
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Gurania,lobata,Gurania lobata,endo,green,climber,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Lagenaria,siceraria,Lagenaria siceraria,endo,green,herb,550
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Luffa,operculata,Luffa operculata,endo,brown,climber,80
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Luffa,aegyptiaca,Luffa aegyptiaca,endo,brown,climber,285
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Melothria,dulcis,Melothria dulcis,endo,orange,climber,60
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Melothria,pendula,Melothria pendula,endo,black,climber,13.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Melothria,scabra,Melothria scabra,endo,orange,climber,36.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Melothria,trilobata,Melothria trilobata,endo,red,climber,37.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Microsechium,helleri,Microsechium helleri,endo,unknown,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Momordica,charantia,Momordica charantia,endo,orange,herb,72.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Polyclathra,cucumerina,Polyclathra cucumerina,endo,brown,herb,60
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Posadaea,sphaerocarpa,Posadaea sphaerocarpa,endo,yellow,herb,135
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Psiguria,warscewiczii,Psiguria warscewiczii,endo,black,climber,67.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Psiguria,triphylla,Psiguria triphylla,endo,black,climber,52.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Rytidostylis,gracilis,Rytidostylis gracilis,endo,green,climber,21.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sechium,pittieri,Sechium pittieri,endo,green,climber,50
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sechium,edule,Sechium edule,endo,white,climber,135
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Selysia,prunifera,Selysia prunifera,endo,red,climber,32.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sicana,odorifera,Sicana odorifera,endo,red,herb,450
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sicydium,schiedeanum,Sicydium schiedeanum,endo,black,climber,10.25
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sicydium,tamnifolium,Sicydium tamnifolium,endo,black,climber,9
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sicydium,tuerckheimii,Sicydium tuerckheimii,endo,black,climber,8.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sicyos,guatemalensis,Sicyos guatemalensis,endo,unknown,,4
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sicyos,barbatus,Sicyos barbatus,endo,green,,28.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sicyos,longisepalus,Sicyos longisepalus,endo,brown,,8
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Cucurbitaceae,Sicyos,polyacanthus,Sicyos polyacanthus,endo,green,,9.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dichapetalaceae,Tapura,guianensis,Tapura guianensis,endo,unknown,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dichapetalaceae,Stephanopodium,gentryi,Stephanopodium gentryi,endo,brown,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dichapetalaceae,Stephanopodium,costaricense,Stephanopodium costaricense,endo,brown,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dichapetalaceae,Dichapetalum,axillare,Dichapetalum axillare,endo,brown,tree,15
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dichapetalaceae,Dichapetalum,bullatum,Dichapetalum bullatum,endo,,climber,35
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dichapetalaceae,Dichapetalum,grayumii,Dichapetalum grayumii,endo,unknown,climber,15
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dichapetalaceae,Dichapetalum,morenoi,Dichapetalum morenoi,endo,unknown,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dichapetalaceae,Dichapetalum,pedunculatum,Dichapetalum pedunculatum,endo,,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Davilla,nitida,Davilla nitida,endo,white,climber,3.25
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Davilla,kunthii,Davilla kunthii,endo,white,climber,3.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Dillenia,indica,Dillenia indica,endo,green,tree,90
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Dillenia,suffruticosa,Dillenia suffruticosa,endo,red,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Doliocarpus,brevipedicellatus,Doliocarpus brevipedicellatus,endo,red,climber,5.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Doliocarpus,dentatus,Doliocarpus dentatus,endo,red,climber,6.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Doliocarpus,major,Doliocarpus major,endo,red,climber,11.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Doliocarpus,multiflorus,Doliocarpus multiflorus,endo,red,climber,12
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Dilleniaceae,Pinzona,coriacea,Pinzona coriacea,endo,unknown,climber,5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Diospyros,digyna,Diospyros digyna,endo,black,tree,70
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Diospyros,morenoi,Diospyros morenoi,endo,unknown,tree,40
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Diospyros,salicifolia,Diospyros salicifolia,endo,orange,tree,25
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Elaeocarpaceae,Sloanea,ampla,Sloanea ampla,endo,orange,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Sloanea,geniculata,Sloanea geniculata,endo,orange,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Sloanea,laevigata,Sloanea laevigata,endo,white,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Sloanea,meianthera,Sloanea meianthera,endo,orange,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Sloanea,picapica,Sloanea picapica,endo,orange,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Sloanea,rugosa,Sloanea rugosa,endo,orange,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Sloanea,terniflora,Sloanea terniflora,endo,orange,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ebenaceae,Sloanea,tuerckheimii,Sloanea tuerckheimii,endo,orange,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Arbutus,xalapensis,Arbutus xalapensis,endo,red,shrub,6
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Cavendishia,axillaris,Cavendishia axillaris,endo,black,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Cavendishia,bracteata,Cavendishia bracteata,endo,black,epiphyte,9
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Cavendishia,callista,Cavendishia callista,endo,black,shrub,100
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Cavendishia,complectens,Cavendishia complectens,endo,black,epiphyte,9
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Comarostaphylis,arbutoides ssp. arbutoides,Comarostaphylis arbutoides ssp. arbutoides,endo,black,shrub,5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Disterigma,humboldtii,Disterigma humboldtii,endo,unknown,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Macleania,rupestris,Macleania rupestris,endo,black,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Macleania,insignis,Macleania insignis,endo,unknown,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Monotropa,uniflora,Monotropa uniflora,endo,unknown,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Pernettya,prostrata,Pernettya prostrata,endo,black,shrub,8
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Satyria,meiantha,Satyria meiantha,endo,unknown,epiphyte,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Satyria,panurensis,Satyria panurensis,endo,unknown,epiphyte,5.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Satyria,warszewiczii,Satyria warszewiczii,endo,unknown,epiphyte,5.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Sphyrospermum,buxifolium,Sphyrospermum buxifolium,endo,white,shrub,5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Sphyrospermum,cordifolium,Sphyrospermum cordifolium,endo,white,shrub,5.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Sphyrospermum,ellipticum,Sphyrospermum ellipticum,endo,unknown,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Ericaceae,Vaccinium,poasanum,Vaccinium poasanum,endo,black,epiphyte,8.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,areolatum,Erythroxylum areolatum,endo,red,shrub,9
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,citrifolium,Erythroxylum citrifolium,endo,red,shrub,9
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,fimbriatum,Erythroxylum fimbriatum,endo,red,,11
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,guatemalense,Erythroxylum guatemalense,endo,red,shrub,10
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,havanense,Erythroxylum havanense,endo,red,shrub,6
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,macrophyllum,Erythroxylum macrophyllum,endo,red,shrub,9.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,mexicanum,Erythroxylum mexicanum,endo,red,shrub,8.75
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,novogranatense,Erythroxylum novogranatense,endo,red,shrub,10.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Erythroxylaceae,Erythroxylum,rotundifolium,Erythroxylum rotundifolium,endo,red,shrub,6.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Euphorbiaceae,Hippomane,mancinella,Hippomane mancinella,endo,unknown,tree,20
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Fabaceae,Andira,inermis,Andira inermis,endo,unknown,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Fabaceae,Dipteryx,oleifera,Dipteryx oleifera,endo,unknown,tree,50
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Fabaceae,Lecointea,amazonica,Lecointea amazonica,endo,unknown,tree,25
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Fagaceae,Mayna,odorata,Mayna odorata,endo,yellow,,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Hasseltia,floribunda,Hasseltia floribunda,endo,black,,5.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Hasseltia,guatemalensis,Hasseltia guatemalensis,endo,black,,5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Muntingia,calabura,Muntingia calabura,endo,red,shrub,0.475
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Banara,guianensis,Banara guianensis,endo,black,shrub,9
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Hasseltiopsis,dioica,Hasseltiopsis dioica,endo,green,shrub,8.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Lunania,mexicana,Lunania mexicana,endo,white,tree,4
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Lunania,parviflora,Lunania parviflora,endo,red,tree,6
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Samyda,mexicana,Samyda mexicana,endo,orange,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Laetia,procera,Laetia procera,endo,red,tree,15
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Laetia,thamnia,Laetia thamnia,endo,brown,tree,35
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Zuelania,guidonia,Zuelania guidonia,endo,green,tree,50
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Prockia,crucis,Prockia crucis,endo,black,shrub,7.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Dovyalis,hebecarpa,Dovyalis hebecarpa,endo,brown,shrub,27.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Olmediella,betschleriana,Olmediella betschleriana,endo,green,shrub,35
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Flacourtia,jangomas,Flacourtia jangomas,endo,red,tree,20
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,characantha,Xylosma characantha,endo,black,shrub,6
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,chlorantha,Xylosma chlorantha,endo,red,shrub,11
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,cinerea,Xylosma cinerea,endo,black,shrub,6
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,flexuosa,Xylosma flexuosa,endo,black,shrub,5.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,hispidula,Xylosma hispidula,endo,red,tree,6.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,horrida,Xylosma horrida,endo,black,shrub,6.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,intermedia,Xylosma intermedia,endo,black,tree,7
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,longipedicellata,Xylosma longipedicellata,endo,red,tree,6
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,oligandra,Xylosma oligandra,endo,black,shrub,6.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,velutina,Xylosma velutina,endo,black,shrub,7.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Flacourtiaceae (Salicaceae),Xylosma,panamensis,Xylosma panamensis,endo,black,shrub,5.5
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gentianaceae,Potalia,amara,Potalia amara,endo,yellow,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Besleria,trichostegia,Besleria trichostegia,endo,unknown,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Besleria,columneoides,Besleria columneoides,endo,unknown,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Besleria,flavovirens,Besleria flavovirens,endo,unknown,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Besleria,laxiflora,Besleria laxiflora,endo,unknown,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Besleria,notabilis,Besleria notabilis,endo,unknown,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Besleria,pauciflora,Besleria pauciflora,endo,unknown,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Besleria,robusta,Besleria robusta,endo,unknown,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Besleria,solanoides,Besleria solanoides,endo,unknown,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,consanguinea,Columnea consanguinea,endo,orange,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,florida,Columnea florida,endo,yellow,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,glabra,Columnea glabra,endo,white,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,gloriosa,Columnea gloriosa,endo,white,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,hirta,Columnea hirta,endo,white,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,kalbreyeriana,Columnea kalbreyeriana,endo,,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,linearis,Columnea linearis,endo,white,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,nicaraguensis,Columnea nicaraguensis,endo,white,shrub,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,purpurata,Columnea purpurata,endo,white,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,rubricaulis,Columnea rubricaulis,endo,white,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Columnea,tulae var. tomentulosa,Columnea tulae var. tomentulosa,endo,white,herb,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gesneriaceae,Rufodorsia,minor,Rufodorsia minor,endo,white,epiphyte,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Gunneraceae,Gunnera,insignis,Gunnera insignis,endo,unknown,,2
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Heliconiaceae,Heliconia,aurantiaca,Heliconia aurantiaca,endo,,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Heliconiaceae,Heliconia,champneiana,Heliconia champneiana,endo,,tree,NA
Flora of Nicaragua (online),NICARAGUA,12.84390878,-85.03839015,Heliconiaceae,Heliconia,collinsiana,Heliconia collinsiana,endo,,tree,NA
