sp,Growth form,Dispersal unit,Dispersal adaptation,Notes on propagule and dispersal in NZ,Notes on propagule and dispersal overseas,Primary mode,other mode,third mode,,mode
Coprosma petriei,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma propinqua,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma pseudociliata,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma pseudocuneata,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma repens,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma rhamnoides,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma rigida,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma robusta,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma rotundifolia,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma rubra,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma rugosa,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma serrulata,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma spathulata,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma talbrockiei,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma tayloriae,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma tenuicaulis,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma tenuifolia,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma virescens,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma waima,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma wallii,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Cordyline australis,tree,berry,fleshy,,rattites ,frugivory,,,,endo
Cordyline banksii,shrub,berry,fleshy,,"""   """,frugivory,,,,endo
Cordyline indivisa,shrub,berry,fleshy,,"""   """,frugivory,,,,endo
Cordyline obtecta,shrub,berry,fleshy,,"""   """,frugivory,,,,endo
Cordyline pumilio,shrub,berry,fleshy,,"""   """,frugivory,,,,endo
Coriaria angustissima,shrub,berry,fleshy,"""   ""","""   """,frugivory,wind,,,endo
Coriaria arborea,tree,berry,fleshy,"""   ""","""   """,frugivory,wind,,,endo
Coriaria kingiana,shrub,berry,fleshy,"""   ""","""   """,frugivory,wind,,,endo
Coriaria plumosa,shrub,berry,fleshy,"""   ""","""   """,frugivory,wind,,,endo
Coriaria pottsiana,shrub,berry,fleshy,"""   ""","""   """,frugivory,wind,,,endo
Coriaria pteridoides,shrub,berry,fleshy,"""   ""","""   """,frugivory,wind,,,endo
Coriaria sarmentosa,shrub,berry,fleshy,"""   ""","""   """,frugivory,wind,,,endo
Corokia buddleioides,shrub,drupe,fleshy,-1994,,frugivory,,,,endo
Corokia cotoneaster,shrub,drupe,fleshy,"""   """,,frugivory,,,,endo
Corokia macrocarpa,shrub,drupe,fleshy,"""   """,,frugivory,,,,endo
Cortaderia  ,herb,floret,,"lemma short awned, hairy","wind, attachment ",wind,,,,wind
Cortaderia  ,herb,floret,,"""   ""","""   """,wind,,,,wind
Cortaderia fulvida,herb,floret,"""   ""","""   """,,wind,,,,wind
Cortaderia richardii,herb,floret,"""   ""","""   """,,wind,,,,wind
Cortaderia splendens,herb,floret,"""   ""","""   """,,wind,,,,wind
Cortaderia toetoe,herb,floret,"""   ""","""   """,,wind,,,,wind
Cortaderia turbaria,herb,floret,"""   ""","""   """,,wind,,,,wind
Corunastylis nuda,herb,seed,minute,,,wind,,,,wind
Corunastylis pumila,herb,seed,minute,,,wind,,,,wind
Corybas cheesemanii,herb,seed,minute,,,wind,,,,wind
Corynocarpus laevigatus,tree,drupe,fleshy,,1983,frugivory,water,,,endo
Cotula australis,herb,cypsela,winged,"female cypsela hairy, outer winged, inner",attachment ,water,attachment,wind,,water
Cotula coronopifolia,herb,cypsela,corky,"outer monoecious cypsela winged and corky, inner","""   """,water,,,,water
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia incana,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia lanata,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia minor,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia robusta,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia uniflora,herb,cypsela,pappate,"""   """,,wind,,,,wind
Craspedia viscosa,herb,cypsela,pappate,"""   """,,wind,,,,wind
Crassula colligata,herb,follicle,minute,"endosperm fleshy, testa ridged in some species",attached in mud ,wind,water,attachment,foliage as,wind
Crassula colorata,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,,wind
Crassula helmsii,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,foliage as,wind
Crassula hunua,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,foliage as,wind
Crassula kirkii,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,fruit,wind
Crassula manaia,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,,wind
Crassula mataikona,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,foliage as,wind
Crassula moschata,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,foliage as,wind
Crassula multicaulis,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,fruit,wind
Crassula peduncularis,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,fruit,wind
Crassula ruamahanga,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,foliage as,wind
Crassula sieberiana,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,foliage as,wind
Crassula sinclairii,herb,follicle,minute,"""   ""","""   """,wind,water,attachment,fruit,wind
Cryptostylis subulata,herb,seed,minute,,,wind,,,,wind
Ctenopteris heterophylla,fern,spore,minute,"""   """,spores chlorophyllous,wind,,,,wind
Cyathea colensoi,fern,spore,minute,"""   """,,wind,,,,wind
Cyathea cunninghamii,fern,spore,minute,"""   """,,wind,,,,wind
Cyathea dealbata,fern,spore,minute,"""   """,,wind,,,,wind
Cyathea kermadecensis,fern,spore,minute,"""   """,,wind,,,,wind
Cyathea medullaris,fern,spore,minute,"""   """,,wind,,,,wind
Cyathea milnei,fern,spore,minute,"""   """,,wind,,,,wind
Cyathea smithii,fern,spore,minute,"""   """,,wind,,,,wind
Cyathodes dealbata,shrub,drupe,fleshy,frugivory ,frugivory ,frugivory,,,,endo
Cyclosorus interruptus,fern,spore,minute,"""   """,,wind,,,,wind
Cyperus insularis,herb,nut,,,"McDougall 2002, Melcher",water,granivory,attachment,,water
Cyperus ustulatus,herb,nut,,,"""   """,water,granivory,attachment,,water
Cyrtostylis oblonga,herb,seed,minute,,"""   """,wind,,,,wind
Cyrtostylis reniformis,herb,seed,minute,,"""   """,wind,,,,wind
Cystopteris tasmanica,fern,spore,minute,"""   """,,wind,,,,wind
Dacrycarpus dacrydioides,tree,seed,arillate,receptacle swollen.,frugivory ,frugivory,,,,endo
Dacrydium cupressinum,tree,seed,arillate,cone scales swollen. See Quinn ,frugivory ,frugivory,,,,endo
Dactylanthus taylorii,herb,nut,fleshy,by water  and poss. granivores ,,granivory,worm,water,,cache
Damnamenia vernicosa,herb,cypsela,pappate,"pappus plumose, cypsela body hairy",,wind,,,,wind
Danhatchia australis,herb,seed,minute,,,wind,,,,wind
Daucus glochidiatus agg.,herb,mericarp,spines,ribs spined,"Stebbins 1971, Melcher et",attachment,,,,attach
Davallia tasmanii,fern,spore,minute,"""   "", spores lack chlorophyll. Spores","spores large, with inflated",wind,,,,wind
Deparia petersenii,fern,spore,minute,"""   """,,wind,,,,wind
Deschampsia cespitosa,herb,floret,,"""   ""","""   """,wind,water,attachment,,wind
Deschampsia chapmanii,herb,floret,,"""   ""","""   """,wind,water,attachment,,wind
Deschampsia gracillima,herb,floret,,"""   ""","""   """,wind,water,attachment,,wind
Deschampsia pusilla,herb,floret,,"""   ""","""   """,wind,water,attachment,,wind
Deschampsia tenella,herb,floret,,"""   ""","""   """,wind,water,attachment,,wind
Desmoschoenus spiralis,herb,nut,,,,wind,,,,wind
Deyeuxia aucklandica,herb,floret,"""   ""","""   """,,wind,,,,wind
Deyeuxia avenoides,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Deyeuxia lacustris,herb,floret,"""   ""","""   """,,wind,,,,wind
Deyeuxia quadriseta,herb,floret,lemma short awned. Wind . See,wind ,,wind,,,,wind
Deyeuxia youngii,herb,floret,"""   ""","""   """,,wind,,,,wind
Dianella haematica,herb,berry,fleshy,"Carlquist 1967, Snow 1981,",,frugivory,,,,endo
Dianella latissima,herb,berry,fleshy,,"""   """,frugivory,,,,endo
Dianella nigra,herb,berry,fleshy,,"""   """,frugivory,,,,endo
Dichelachne crinita,herb,floret,lemma long awned. D. crinita attaches to clothing,adhesion ,,wind,attachment,,,wind
Dichelachne inaequiglumis,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Dichelachne lautumia,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Dichelachne micrantha,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Dichondra  ,herb,capsule,,"""   """,,wind,capsule,,,wind
Dichondra brevifolia,herb,capsule,,"""   """,,wind,capsule,,,wind
Dichondra repens agg.,herb,capsule,,"""   """,,wind,capsule,,,wind
Dicksonia fibrosa,fern,spore,minute,"""   """,,wind,,,,wind
Dicksonia lanata,fern,spore,minute,"""   """,,wind,,,,wind
Dicksonia squarrosa,fern,spore,minute,"""   """,,wind,,,,wind
Dicranopteris linearis,fern,spore,minute,"""   """,,wind,,,,wind
Diplazium australe,fern,spore,minute,"""   """,,wind,,,,wind
Diplodium alobulum,herb,seed,minute,,,wind,,,,wind
Diplodium alveatum,herb,seed,minute,,,wind,,,,wind
Diplodium brumalis,herb,seed,minute,,,wind,,,,wind
Diplodium trullifolium,herb,seed,minute,,,wind,,,,wind
Discaria toumatou,shrub,seed,,see Primack ,,ballistic,water,,,ballistic
Disphyma australe,herb,capsule,fleshy,"hygrochastic, fleshy capsule",frugivores ,frugivory,water,wind,,endo
Disphyma papillatum,herb,capsule,fleshy,"""   ""","""   """,frugivory,water,wind,,endo
Dodonaea viscosa,shrub,fruit,winged,seed has small aril,"1930, Razi 1950, Carlquist",wind,water,ant,,wind
Dolichoglottis lyallii,herb,cypsela,pappate,"pappate, cypsela body hairy",,wind,,,,wind
Dolichoglottis scorzoneroides,herb,cypsela,pappate,"""   """,,wind,,,,wind
Donatia novae-zelandiae,herb,capsule,minute,"Carlquist , Wagstaff and Wege ",,wind,,,,wind
Doodia aspera,fern,spore,minute,"""   "", see Parris ","spores large, with inflated",wind,,,,wind
Doodia australis,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Doodia milnei,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Doodia mollis,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Doodia squarrosa,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum  ,shrub,seed,minute,testa reticulate.  Wind . See Haase,"water, wind ",wind,,,,wind
Dracophyllum acerosum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum arboreum,tree,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum elegantissimum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum filifolium,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum fiordense,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum kirkii,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum latifolium,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum lessonianum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum longifolium,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum marmoricola,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum menziesii,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum muscoides,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum oliveri,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum ophioliticum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum palustre,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum patens,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum pearsonii,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum politum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum pronum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum pubescens,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum recurvum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum rosmarinifolium,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum scoparium,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum sinclairii,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum strictum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum subulatum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum townsonii,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum traversii,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum trimorphum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Dracophyllum urvilleanum,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Drosera arcturi,herb,seed,minute,"testa reticulate, reduced in some species","Razi 1950, Benson and",water,wind,,,water
Drosera binata,herb,seed,minute,"""   ""","""   """,water,wind,,,water
Drosera peltata,herb,seed,minute,"""   ""","""   """,water,wind,,,water
Drosera pygmaea,herb,seed,minute,"""   ""","""   """,water,wind,,,water
Drosera spatulata,herb,seed,minute,"""   ""","""   """,water,wind,,,water
Drosera stenopetala,herb,seed,minute,"""   ""","""   """,water,wind,,,water
Drymoanthus adversus,herb,seed,minute,,,wind,,,,wind
Drymoanthus flavus,herb,seed,minute,,,wind,,,,wind
Dysoxylum spectabile,tree,seed,arillate,some features of bat-dispersal ,", rattites ",frugivory,,,,endo
Earina aestivalis,herb,seed,minute,,,wind,,,,wind
Earina autumnalis,herb,seed,minute,,,wind,,,,wind
Earina mucronata,herb,seed,minute,,,wind,,,,wind
Echinopogon ovatus,herb,floret,lemma long awned,"""   """,,wind,attachment,,,wind
Einadia allanii,herb,nutlet,dry pericarp,pericarp dry,,water,,,,water
Einadia triandra,herb,berry,fleshy,pericarp fleshy,frugivory ,frugivory,,,,endo
Einadia trigonos,herb,nutlet,dry pericarp,pericarp dry,,water,,,,water
Elaeocarpus dentatus,tree,drupe,fleshy,fleshy,Benson and McDougall,frugivory,,,,endo
Elaeocarpus hookerianus,tree,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Elatine gratioloides,herb,seed,,testa reticulate,", some",water,attachment,,,water
Elatostema rugosum,herb,achene,papery,testa surface flaking,,ballistic,water,,,ballistic
Eleocharis acuta,herb,nut,bristle,"nut reticulate, hypogenous bristles present, some","Cook 1987, Melcher et al.",water,wind,attachment,granivory,water
Eleocharis gracilis,herb,nut,bristle,"""   ""","""   """,water,wind,attachment,granivory,water
Eleocharis neozelandica,herb,nut,bristle,"""   ""","""   """,water,wind,attachment,granivory,water
Eleocharis pusilla,herb,nut,bristle,"""   ""","""   """,water,wind,attachment,granivory,water
Eleocharis sphacelata,herb,nut,bristle,"""   ""","""   """,water,wind,attachment,granivory,water
Elingamita johnsonii,tree,drupe,fleshy,,,frugivory,,,,endo
Elymus apricus,herb,floret,,,"""   """,attachment,wind,,,attach
Elymus falcis,herb,floret,,,"""   """,attachment,wind,,,attach
Elymus multiflorus,herb,floret,,,"""   """,attachment,wind,,,attach
Elymus sacandros,herb,floret,,,"""   """,attachment,wind,,,attach
Elymus solandri,herb,floret,,,"""   """,attachment,wind,,,attach
Elymus tenuis,herb,floret,,,"""   """,attachment,wind,entanglement,,attach
Embergeria grandifolia,herb,cypsela,pappate,"cypsela compressed, pappus caducous",,wind,,,,wind
Empodisma minus,herb,nut,,"nut hard, indehiscent. Wind ",,wind,water,,,wind
Entelea arborescens,shrub,capsule,spines,,,attachment,,,,attach
Epacris alpina,shrub,seed,minute,testa reticulate,wind ,wind,,,,wind
Epacris pauciflora,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Epacris sinclairii,shrub,seed,minute,"""   ""","""   """,wind,,,,wind
Epilobium  ,herb,seed,pappate,"angustatum, E. gunnianum and E. margaretiae testa","McIntyre et al. 1995,",wind,,,,wind
Epilobium  ,herb,seed,pappate,"""   ""","""   """,wind,,,,wind
Epilobium  ,herb,seed,pappate,"""   ""","""   """,wind,,,,wind
Epilobium  ,herb,seed,pappate,"""   ""","""   """,wind,,,,wind
Epilobium alsinoides,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium angustum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium astonii,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium atriplicifolium,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium billardiereanum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium brevipes,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium brunnescens,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium chionanthum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium chlorifolium,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium cinereum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium cockayneanum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium confertifolium,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium crassum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium elegans,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium forbesii,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium glabellum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium gracilipes,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium gunnianum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium hectorii,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium hirtigerum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium insulare,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium komarovianum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium krulleanum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium linnaeoides,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium macropus,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium margaretiae,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium matthewsii,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium melanocaulon,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium microphyllum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium nerteroides,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium nummulariifolium,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium pallidiflorum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium pedunculare,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium pernitens,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium petraeum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium pictum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium porphyrium,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium pubens,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium purpuratum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium pycnostachyum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium rostratum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium rotundifolium,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium rubromarginatum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium tasmanicum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium tenuipes,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium vernicosum,herb,seed,pappate,"""","""",wind,,,,wind
Epilobium wilsonii,herb,seed,pappate,"""","""",wind,,,,wind
Eremophila debilis,shrub,berry,fleshy,,,frugivory,,,,endo
Eryngium vesiculosum,herb,mericarp,spines,surface with broad flat spines,", wind ",wind,water,attachment,,wind
Euchiton ,herb,cypsela,pappate,caducous. Paired papillae ,,wind,water,,,wind
Euchiton  ,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton audax,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton collinus,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton delicatus,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton ensifer,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton involucratus,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton lateralis,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton limosus,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton paludosus,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton polylepis,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton ruahinicus,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton sphaericus,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euchiton traversii,herb,cypsela,pappate,"""   """,,wind,water,,,wind
Euphorbia glauca,herb,cyathea,,"cyathea dehiscent , poss. detaching,", ,ballistic,water,wind,,ballistic
Euphrasia  ,herb,seed,splash cup,testa reticulate and ridged. See Simpson .,wind ,water,wind,ballistic,,water
Euphrasia  ,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia  ,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia  ,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia  ,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia  ,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia  ,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia  ,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia  ,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia australis,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia cheesemanii,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia cockayneana,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia cuneata,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia disperma,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia drucei,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia dyeri,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia integrifolia,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia laingii,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia monroi,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia petriei,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia repens,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia revoluta,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia townsonii,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia wettsteiniana,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Euphrasia zelandica agg.,herb,seed,splash cup,"""   ""","""   """,water,wind,ballistic,,water
Ewartiothamnus sinclairii,herb,cypsela,pappate,pappus caducous,,wind,,,,wind
Exocarpos bidwillii,shrub,nutlet,arillate,pedicel fleshy,"Carlquist 1967, Benson and",frugivory,,,,endo
Festuca actae,herb,floret,,,"""   """,wind,water,attachment,,wind
Festuca contracta,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Festuca coxii,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Festuca deflexa,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Festuca luciarum,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Festuca madida,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Festuca matthewsii,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Festuca multinodis,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Festuca novae-zelandiae,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Festuca ultramafica,herb,floret,"""   """,,"""   """,wind,water,attachment,,wind
Ficinia nodosa,herb,nut,,,,wind,,,,wind
Fimbristylis velata,herb,nut,,,,wind,,,,wind
Forstera  ,herb,seed,winged,"""   """,,wind,,,,wind
Forstera bidwillii,herb,seed,winged,"""   """,,wind,,,,wind
Forstera mackayi,herb,seed,winged,"""   """,,wind,,,,wind
Forstera sedifolia,herb,seed,winged,"""   """,,wind,,,,wind
Forstera tenella,herb,seed,winged,"""   """,,wind,,,,wind
Freycinetia banksii,vine,phalange,viscid,seeds in glutinous matrix . Frugivory by,frugivory ,frugivory,attachment,,,endo
Fuchsia excorticata,tree,berry,fleshy,,frugivory  ,frugivory,invertebrate,,,endo
Fuchsia perscandens,vine,berry,fleshy,"""   """,,frugivory,invertebrate,,,endo
Fuchsia procumbens,vine,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Gahnia lacera,herb,floret,,nut and glume tangled in staminal filaments,"Carlquist 1967, van de Pijl",wind,granivory,attachment,,wind
Gahnia pauciflora,herb,floret,,"""   ""","""   """,wind,granivory,attachment,,wind
