code,dispersal trait,mode,fruit diameter,sp,plant family,source
ACAINT,ADF,wind,NA,Acalypha integrifolia,Euphorbiaceae,NA
AGABUX,ADF,wind,NA,Agarista buxifolia,Ericaceae,NA
AGASAL,ADF,wind,NA,Agarista salicifolia,Ericaceae,NA
BLETAB,ADF,wind,NA,Blechnum tabulare,Blechnaceae,NA
BLOPUB,ADF,wind,NA,Blotiella pubescens,Dennstaedtiaceae,NA
BOESTI,ADF,wind,NA,Boehmeria stipularis,Urticaceae,NA
CLEMAU,ADF,wind,NA,Clematis mauritiana,Ranunculaceae,NA
CYABOR,ADF,wind,NA,Cyathea borbonica,Cyatheaceae,NA
CYAEXC,ADF,wind,NA,Cyathea excelsa,Cyatheaceae,NA
CYAGLA,ADF,wind,NA,Cyathea glauca,Cyatheaceae,NA
DANFRA,ADF,wind,NA,Danais fragrans,Rubiaceae,NA
DODVIS,ADF,wind,NA,Dodonaea viscosa,Sapindaceae,NA
ERIARB,ADF,wind,NA,Erica arborescens,Ericaceae,NA
ERIREU,ADF,wind,NA,Erica reunionensis,Ericaceae,NA
FAUFLE,ADF,wind,NA,Faujasiopsis flexuosa,Asteraceae,NA
FAUSAL,ADF,wind,NA,Faujasia salicifolia,Asteraceae,NA
HELHEL,ADF,wind,NA,Helichrysum heliotropifolium,Asteraceae,NA
HIBBOR,ADF,wind,NA,Hibiscus boryanus,Malvaceae,NA
HOMPAN,ADF,wind,NA,Homalium paniculatum,Salicaceae,NA
HUBAMB,ADF,wind,NA,Hubertia ambavilla,Asteraceae,NA
HUMTOM,ADF,wind,NA,Humbertacalia tomentosa,Asteraceae,NA
HYPLAN,ADF,wind,NA,Hypericum lanceolatum,Hypericaceae,NA
NUXVER,ADF,wind,NA,Nuxia verticillata,Stilbaceae,NA
PSIBOI,ADF,wind,NA,Psiadia boivinii,Asteraceae,NA
PSILAU,ADF,wind,NA,Psiadia laurifolia,Asteraceae,NA
SARVIM,ADF,wind,NA,Sarcostemma viminale,Apocynaceae,NA
