sp,mode
Galium aparine,attach
Cynoglossum officinale,attach
Arctium minus,attach
Anthriscus caucalis,attach
Oenothera biennis,attach
Urtica dioica,attach
Arrhenatherum elatius,attach
Senecio jacobaea,attach
Myosotis arvensis,attach
Poa trivialis,attach
Lythrum salicaria,attach
Cerastium semidecandrum,attach
Holcus lanatus,attach
Festuca rubra,attach
